setting,e_beam_GeV,hms_p_GeV,hms_angle_deg,shms_p_GeV,shms_angle_deg,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD_MeV,muD_err_MeV,sigD_MeV,sigD_err_MeV,statusD,chi2D,ndfD,muS_MeV,muS_err_MeV,sigS_MeV,sigS_err_MeV,statusS,chi2S,ndfS,offset_MeV,offset_err_MeV,fit_valid
D,10.671600,4.720000,26.395000,-6.384000,18.560000,1,b1,-2.000000,-1.000000,Pmz,-0.285600,-0.129864,48.000000,0.006609,7263.277169,231.000000,1792.000000,-774.925419,912.555338,447.760912,244.125601,0,9.975146,20,-271.990001,135.422486,193.176457,161.430562,0,23.472220,21,-502.935418,922.548911,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,1,b1,-2.000000,-1.000000,Pmy,-0.039458,0.049743,148.000000,0.023158,6390.795522,231.000000,1792.000000,3.574809,1.772486,17.531452,1.813414,0,36.164489,12,-0.581414,0.206172,7.955290,0.163613,0,1.849958,5,4.156222,1.784437,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,2,b2,-1.000000,0.000000,W,1.128812,1.294188,71.000000,0.010884,6523.328574,243.000000,2411.000000,1229.801476,16.331949,66.354351,25.072703,0,18.543928,19,1242.066655,7.138887,72.905368,17.107705,0,13.526349,14,-12.265179,17.824036,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,2,b2,-1.000000,0.000000,Em,0.102606,0.127394,5.000000,0.001240,4033.209215,243.000000,2411.000000,-999.000000,-999.000000,-999.000000,-999.000000,1,0.245112,1,-999.000000,-999.000000,-999.000000,-999.000000,0,12.249007,21,-999.000000,-999.000000,0
D,10.671600,4.720000,26.395000,-6.384000,18.560000,2,b2,-1.000000,0.000000,Pmz,-0.300000,-0.219563,32.000000,0.004802,6664.456419,243.000000,2411.000000,-266.151847,13.844447,34.753817,26.083579,0,6.064099,10,-340.006619,130.980696,245.097446,219.205647,0,15.635066,11,73.854772,131.710331,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,2,b2,-1.000000,0.000000,Pmy,-0.035864,0.045913,152.000000,0.029710,5116.184233,243.000000,2411.000000,6.144709,1.609616,15.557445,1.567366,0,19.825719,11,-0.313575,0.170719,7.654853,0.130581,0,2.182210,5,6.458284,1.618644,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,3,b3,0.000000,1.000000,W,1.205579,1.300000,43.000000,0.006995,6147.464828,351.000000,5375.000000,1391.343666,470.806225,253.537171,226.828836,0,11.789315,9,955.326126,0.712101,30.526540,0.780568,0,51.668197,13,436.017540,470.806763,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,3,b3,0.000000,1.000000,Em,0.121678,0.150000,30.000000,0.002086,14382.864851,351.000000,5375.000000,137.045233,14.650886,22.492903,49.878028,0,5.408416,10,6.790084,0.112505,4.265420,0.097707,0,90.963205,9,130.255149,14.651318,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,3,b3,0.000000,1.000000,Pmz,-0.300000,-0.179635,78.000000,0.008882,8782.153244,351.000000,5375.000000,-221.443152,26.632380,69.837183,43.520816,0,10.033934,16,-7.049020,0.185457,6.633166,0.140007,0,639.085972,9,-214.394131,26.633025,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,3,b3,0.000000,1.000000,Pmy,-0.033065,0.043855,235.000000,0.055583,4227.902807,351.000000,5375.000000,5.521625,0.967747,14.059213,0.853456,0,5.888535,10,-0.481292,0.106690,7.167347,0.082843,0,8.685661,5,6.002916,0.973610,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,4,b4,1.000000,2.000000,W,0.878407,1.007039,275.000000,0.061581,4465.694431,570.000000,9276.000000,942.280086,2.618140,34.700431,2.958454,0,14.743642,15,949.207768,0.331884,24.029326,0.343017,0,110.250907,12,-6.927682,2.639092,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,4,b4,1.000000,2.000000,Em,-0.027650,0.004309,175.000000,0.021943,7975.208442,570.000000,9276.000000,-11.160956,0.663525,7.258139,0.522226,0,12.959745,13,6.512537,0.064865,4.296145,0.057853,0,175.848339,9,-17.673492,0.666688,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,4,b4,1.000000,2.000000,Pmz,-0.041068,0.044347,250.000000,0.057093,4378.813499,570.000000,9276.000000,9.157338,1.014314,11.482019,0.998196,0,42.131975,11,-6.227923,0.091921,5.974498,0.073259,0,828.321878,6,15.385261,1.018470,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,4,b4,1.000000,2.000000,Pmy,-0.031384,0.040605,432.000000,0.093935,4598.930510,570.000000,9276.000000,5.371509,0.584153,11.748890,0.574318,0,13.771553,9,-0.184484,0.079641,7.172929,0.063361,0,11.855683,5,5.555993,0.589557,1
D,10.671600,4.720000,26.395000,-6.384000,18.560000,5,b5,2.000000,3.000000,W,0.878556,0.990905,459.000000,0.077350,5934.071788,816.000000,10394.000000,934.644715,1.612533,29.042109,1.635815,0,12.585507,13,947.905965,0.270611,21.625126,0.253516,0,75.781636,11,-13.261250,1.635082,1
