group_id,curve_label,setting_id,pt_bin,phibin,pt_lo,pt_hi,pt_center,phi_lo,phi_hi,phi_center,yield_sig,yield_pos,yield_dum,yield_posdum,yield_net,yield_net_err,yield_sim,yield_sim_err,xsec,xsec_stat,mean_xB,mean_Q2,valid
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,3,0.1,0.2,0.15,2.35619,3.14159,2.74889,8.13223,0.129511,4.5047,-0.0470568,6.81116,0.203294,9.14713,0.147753,0.00241627,8.20026e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,4,0.1,0.2,0.15,3.14159,3.92699,3.53429,9.64976,0.0957301,5.28213,0.0984668,8.19705,0.218095,10.7573,0.160116,0.00247265,7.53838e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,5,0.1,0.2,0.15,3.92699,4.71239,4.31969,4.15759,-0.0478798,2.16924,0.021416,3.64321,0.144848,4.24686,0.09878,0.00278372,0.000128224,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,6,0.1,0.2,0.15,4.71239,5.49779,5.10509,0.119957,-0.00281544,0.0415099,0.00214548,0.112467,0.0217783,0.128861,0.0133239,0.00283214,0.000621705,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p36,pass4/pi+sidis/LH2/z0p36/x0p25/q23p3/hmsPneg1p531_shmsP2p615_hmsTh29p045_shmsTh7p865_thpq2,1,7,0.1,0.2,0.15,5.49779,6.28319,5.89049,0.00121116,0,0.0048824,0,-6.69511e-05,0.00394654,0.0607828,0.00904217,-3.57426e-06,0.000210691,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,0,0.1,0.2,0.15,0,0.785398,0.392699,0.0100111,0,0.0114796,0,0.00700597,0.00422853,0.00337355,0.00221366,0.00539165,0.00480691,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,1,0.1,0.2,0.15,0.785398,1.5708,1.1781,0.13724,-0.00180438,0.0519277,0.00136513,0.125808,0.0150477,0.0245143,0.00594594,0.0133238,0.00360326,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,2,0.1,0.2,0.15,1.5708,2.35619,1.9635,3.32035,-0.018047,1.70711,0.042743,2.9027,0.0828616,2.81117,0.0713507,0.00268075,0.0001024,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,3,0.1,0.2,0.15,2.35619,3.14159,2.74889,7.58012,0.0288704,3.71158,-0.00174273,6.57917,0.120223,7.11285,0.114828,0.00240143,5.85541e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,4,0.1,0.2,0.15,3.14159,3.92699,3.53429,8.08834,0.185854,3.86354,0.0813534,6.91239,0.127359,7.69558,0.118413,0.002332,5.59795e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,5,0.1,0.2,0.15,3.92699,4.71239,4.31969,3.95138,0.0667664,1.93341,-0.00456591,3.37729,0.0894215,3.37066,0.0774399,0.00260132,9.11906e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,6,0.1,0.2,0.15,4.71239,5.49779,5.10509,0.116963,0.0108263,0.0508387,0.0136327,0.0963969,0.0173596,0.0255638,0.00646322,0.00978991,0.00303885,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p50,pass4/pi+sidis/LH2/z0p5/x0p25/q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2,1,7,0.1,0.2,0.15,5.49779,6.28319,5.89049,0.0261283,0,0.0109325,0,0.0232664,0.00571294,0.00731629,0.00340704,0.00825617,0.00434645,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,0,0.1,0.2,0.15,0,0.785398,0.392699,0.0111717,0,0.00591493,0,0.00962327,0.00375586,0.000732067,0.000436631,0.0236132,0.0168311,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,1,0.1,0.2,0.15,0.785398,1.5708,1.1781,0.121353,-0.00312698,0.0480469,-0.00877342,0.109605,0.0137904,0.0227289,0.00498555,0.00866237,0.00219047,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,2,0.1,0.2,0.15,1.5708,2.35619,1.9635,2.2025,-0.00625396,1.22621,0.0263203,1.89465,0.0627845,1.56152,0.0443884,0.00217954,9.51581e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,3,0.1,0.2,0.15,2.35619,3.14159,2.74889,4.50399,0.0281428,2.25215,0.0701873,3.90466,0.0915614,3.87716,0.0706388,0.00180906,5.37205e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,4,0.1,0.2,0.15,3.14159,3.92699,3.53429,4.75679,-0.00625396,2.59803,-0.00877342,4.08064,0.0912445,3.85712,0.0699633,0.00190041,5.47174e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,5,0.1,0.2,0.15,3.92699,4.71239,4.31969,2.22834,0.0250158,1.27129,0.00877342,1.87282,0.0666337,1.68245,0.045379,0.00199958,8.92757e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,6,0.1,0.2,0.15,4.71239,5.49779,5.10509,0.102512,-0.00312698,0.0406531,0,0.0949966,0.0123097,0.028528,0.00555142,0.00598164,0.00139846,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p67,pass4/pi+sidis/LH2/z0p67/x0p25/q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2,1,7,0.1,0.2,0.15,5.49779,6.28319,5.89049,0.0140185,0,0.00886886,0,0.0116968,0.00432044,0.00301377,0.00162853,0.00697171,0.00456329,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,0,0.1,0.2,0.15,0,0.785398,0.392699,0.00224951,0,0,0,0.00224951,0.00233974,0.00162346,0.0010143,0.00093421,0.00113351,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,1,0.1,0.2,0.15,0.785398,1.5708,1.1781,0.0678187,0,-0.00386521,0,0.0688305,0.0100563,0.0147275,0.00270314,0.00315102,0.00073921,0.25,3.3,0
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,2,0.1,0.2,0.15,1.5708,2.35619,1.9635,1.10659,-0.0123094,0.568186,0,0.970161,0.0478925,0.547596,0.0181629,0.00119449,7.10406e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,3,0.1,0.2,0.15,2.35619,3.14159,2.74889,1.74461,0.0246189,0.761447,0,1.52066,0.0624538,1.22875,0.0278766,0.000834391,3.91494e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,4,0.1,0.2,0.15,3.14159,3.92699,3.53429,1.87925,0.110785,0.788503,0,1.56205,0.0817537,1.22636,0.0277596,0.000858767,4.89692e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,5,0.1,0.2,0.15,3.92699,4.71239,4.31969,0.942037,0,0.421308,-0.0129988,0.828344,0.0432993,0.571835,0.0186078,0.00097665,6.01355e-05,0.25,3.3,1
grp_LH2_zOv_x0p25_Q23p3_tpq2p0,z0p90,pass4/pi+sidis/LH2/z0p9/x0p25/q23p3/hmsPneg1p531_shmsP6p538_hmsTh29p045_shmsTh7p865_thpq2,1,6,0.1,0.2,0.15,4.71239,5.49779,5.10509,0.0662093,0,0.0425173,0,0.0550791,0.0121949,0.0136045,0.00269046,0.00272963,0.000810342,0.25,3.3,0
