fit_model,de0_fixed,dthe_fixed,dthp_fixed,dpe_fixed,dpp_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,sse,det_AtA,maxAbsAtA,near_singular_warn,large_param_warn
dpeDppDthp,1,1,0,0,0,data_minus_sim,23842,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.952156,0.194358,122.475671,1.048177,-9.528166,0.090453,-7.730092,0.103779,0,-3.46674428117774,5.36482989750319,-20.3648498135931,29.8927660092794,67.3041275645034,-60.53142406128,-7.73009200000001,-20.9406100092794,55.1715434354966,51.00325806128,6.21724893790088e-15,6083.74068548115,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23842,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.568055,0.174283,126.475553,3.673522,-9.880713,0.089419,-10.87823,0.099029,0,-4.15200511815589,5.71307271107464,-19.5991540174858,35.8015784839485,70.5322799690717,-61.5973954329463,-10.87823,-21.2335234839485,55.9432730309283,51.7166824329463,-5.32907051820075e-15,6255.12755882661,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23842,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.571391,0.343003,189.412676,16.592742,-10.964857,0.107664,-13.335843,0.133299,0,-6.26969148098323,9.98561807806251,-28.3138509509167,54.0617955033399,103.811265033531,-90.0989645864032,-13.335843,-32.4904045033399,85.601410966469,79.1341075864032,2.1316282072803e-14,14645.4349277374,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23842,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.888122,0.525987,25.656263,0.217889,-16.279669,0.295266,-16.366537,0.395563,0,-104.068586063757,255.860383844247,252.598290461699,897.354301270696,203.585421801045,148.206699114136,-16.3665369999999,67.5338207293038,-177.929158801045,-164.486368114136,-1.20792265079217e-13,63275.3677893243,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23844,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.412685,0.082722,132.864509,1.916171,-9.965812,0.040152,-10.307015,0.046817,0,-4.16664729918382,6.00118543172628,-20.9823960966702,35.9278339143562,73.5445791729974,-64.8040402014801,-10.307015,-22.5151489143562,59.3199298270026,54.8382282014801,1.77635683940025e-15,7033.01727759375,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23844,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.263236,0.208748,132.645502,2.867687,-9.925241,0.107127,-6.75564,0.11637,0,-3.39327272501245,5.6074766055362,-22.8724015745032,29.259241336372,72.058675412983,-65.9346501829141,-6.75564000000001,-22.996005336372,60.586826587017,56.0094091829141,1.24344978758018e-14,7336.63373433482,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23844,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,8.811912,0.156973,120.079002,2.314004,-9.649887,0.074603,-7.637423,0.083116,0,-3.39639050424576,5.22773265678309,-20.0457178659418,29.2861250744071,66.136259384493,-59.5171818196296,-7.637423,-20.4742130744071,53.942742615507,49.8672948196296,1.77635683940025e-15,5815.75997452691,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23844,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.911205,0.148225,125.353417,3.10565,-9.816783,0.074385,-10.955403,0.082868,0,-4.16552074953299,5.71331164260846,-19.3040821495883,35.9181199919037,70.0071819854506,-60.9815344532128,-10.955403,-21.0069149919037,55.3462350145494,51.1647514532128,-5.32907051820075e-15,6122.32799903184,3979.51142220752,174.056876024388,0,0
dpeDppDthp,1,1,0,0,0,data_minus_sim,23844,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.711339,0.332363,189.190617,14.456088,-10.909752,0.096751,-13.418464,0.121321,0,-6.28098314741766,9.97784057851705,-28.2236959802701,54.1591603838163,103.701398392176,-89.9401435135116,-13.418464,-32.4478213838163,85.4892186078236,79.0303915135116,-7.105427357601e-15,14607.0703935112,3979.51142220752,174.056876024388,0,1
dpeDppDthp,1,1,0,0,0,data_minus_sim,23844,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.756246,0.390142,24.943414,0.15076,-15.600727,0.224131,-16.172547,0.294367,0,-104.052517965726,255.905044845496,252.874952642736,897.215750556918,202.890158452131,148.901898145292,-16.1725469999999,67.540495443082,-177.946744452131,-164.502625145292,-1.06581410364015e-13,63287.8760655013,3979.51142220752,174.056876024388,0,1
