toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_A,dthe_B,dthe_C,dthe_E,dthe_D,dpe_A,dpe_B,dpe_C,dpe_E,dpe_D,dpp_A,dpp_B,dpp_C,dpp_E,dpp_D,dthp
45,True,Optimization terminated successfully.,13234,17369,824.5552,0,1,0.1138,-0.8836,-0.0991,-0.8807,-1.1507,-0.6698,0.6486,0.2078,1.1081,0.8818,-0.7675,-0.0941,2.7639,1.5661,0.9455,1.0518
46,True,Optimization terminated successfully.,17235,22592,725.3193,1,0,-0.1381,-0.7008,-1.4304,0.5995,-1.1931,-0.2941,0.4225,2.7927,-1.3190,1.4216,-2.0651,0.2782,-1.1444,5.2143,0.7528,1.4195
47,True,Optimization terminated successfully.,18266,23922,488.6935,0,1,-0.3703,-0.8666,-0.5838,-1.6465,-1.0537,0.0850,0.8959,1.3613,2.9120,1.6476,-3.3532,-0.4386,0.9820,-1.1174,0.6851,1.9589
48,True,Optimization terminated successfully.,13322,17540,822.1320,0,1,0.1438,-0.1459,-1.2165,-0.0194,-1.5654,-0.7501,-0.5895,1.6590,-0.7527,1.3757,-0.5467,1.9878,0.1692,4.0919,0.4592,0.7966
49,True,Optimization terminated successfully.,21614,28230,1037.5026,0,1,0.0518,-0.7204,-0.7398,-1.3829,-1.6199,-0.5835,0.3812,0.8287,1.9687,1.9080,-1.0729,0.3402,2.0993,0.1409,-0.7389,1.0969
50,True,Optimization terminated successfully.,13550,17784,486.5462,0,1,-0.3539,-1.1500,-1.1951,-0.9650,-0.7999,0.0539,1.3093,2.3970,1.6776,0.9330,-3.2309,-1.1251,-0.3719,0.6531,1.6175,1.9207
51,True,Optimization terminated successfully.,10108,13403,3830.3353,0,1,-0.2537,-0.8063,-1.2411,0.5511,1.3585,-0.1079,0.7657,0.7355,0.7438,-0.3761,-2.7047,-0.4227,1.3707,2.4766,2.9866,1.6585
52,True,Optimization terminated successfully.,14160,18591,1699.1043,0,1,0.1726,-1.1322,-0.2779,-1.8918,-1.0019,-0.7718,0.9375,0.0791,3.5176,0.7466,-0.4145,-0.5528,2.8437,-1.9011,0.9524,0.8764
53,True,Optimization terminated successfully.,25063,32633,788.8507,0,1,0.0609,-0.9197,-0.0215,0.1482,-0.8562,-0.6081,0.6304,-0.0523,-0.5265,0.4456,-1.0073,-0.0695,3.0820,3.8642,2.0773,1.0203
54,True,Optimization terminated successfully.,10734,14202,6195.5026,0,1,-0.3020,-0.6193,-1.2013,-1.2437,-0.7175,-0.1256,-0.0962,0.1933,1.1313,1.1830,-2.7140,1.0157,-0.3524,-0.2381,0.2150,1.3140
55,False,Maximum number of iterations has been exceeded.,50000,64576,1240.9536,0,0,0.3517,-0.7267,-0.6901,0.0283,-1.7824,-1.0417,0.2897,1.1022,-0.7172,2.7005,0.4866,0.7019,1.0402,4.1818,-1.0560,0.5948
56,True,Optimization terminated successfully.,15909,20876,2858.9393,0,1,0.1772,-0.5159,-0.9581,-0.9805,-2.2294,-0.8703,-0.3832,-0.7510,0.3725,3.4223,-0.1998,1.2014,3.1477,1.1856,-2.0714,0.3576
57,True,Optimization terminated successfully.,12132,15975,1791.4572,1,0,0.1075,-0.9093,-0.2345,0.6109,-1.3929,-0.6992,0.5502,-0.9449,-2.0988,0.9693,-0.6958,-0.2694,4.3793,5.8535,0.4470,0.8468
58,True,Optimization terminated successfully.,20758,27201,757.5127,0,1,-0.0298,-1.1104,-0.8901,0.2389,-0.8591,-0.4829,1.0250,1.2589,-0.6846,0.8563,-1.4260,-0.7606,1.3458,4.0268,1.6197,1.1594
59,True,Optimization terminated successfully.,15187,19898,1121.1061,0,1,0.0695,-0.7488,-0.6794,-0.9735,-1.5740,-0.6206,0.3230,0.5817,0.5926,0.9374,-0.9550,0.1409,2.1046,1.9335,0.9465,1.0299
60,True,Optimization terminated successfully.,18053,23658,576.2151,0,1,-0.0531,-0.7957,-0.1107,-0.3936,-0.3199,-0.4301,0.5872,0.1912,0.5865,0.1703,-1.6053,0.0039,2.9336,2.3925,2.7009,1.2765
61,True,Optimization terminated successfully.,13062,17219,2747.4218,0,1,0.3253,-0.8825,-2.5585,-0.8069,-0.2196,-0.9932,0.5572,4.1988,0.8091,0.4709,0.3335,0.0915,-3.2400,1.7679,1.1326,0.7127
62,True,Optimization terminated successfully.,10008,13204,1369.4773,0,1,0.1490,-0.9557,-1.8209,-0.9497,-1.2548,-0.7363,0.7759,2.1690,1.7890,1.8850,-0.5531,-0.3178,-0.2980,-0.0065,0.3573,0.9148
63,True,Optimization terminated successfully.,19166,25068,421.8885,0,1,-0.3265,-0.8527,-0.9249,-1.3865,-0.8957,0.0080,0.8940,1.8258,2.3449,1.1610,-3.0903,-0.4213,0.2740,-0.3848,1.3537,1.8423
64,True,Optimization terminated successfully.,18386,24044,590.5294,0,1,-0.2837,-0.9723,-0.3651,-1.0142,-0.3722,-0.0464,1.0676,0.4855,2.1161,-0.0894,-2.8854,-0.7630,2.1316,0.2234,3.0364,1.7890
65,True,Optimization terminated successfully.,11308,14900,5239.1081,1,0,0.1901,-0.8182,-0.1582,0.4913,-1.1829,-0.8672,-0.1933,-0.1652,-1.7503,2.2908,-0.1666,0.5363,0.3092,5.4439,-0.0092,0.4717
66,True,Optimization terminated successfully.,27749,36051,694.0232,0,1,-0.3273,-0.3923,-1.8064,-0.7690,-1.3923,-0.0202,0.0259,3.0460,1.0543,2.2498,-3.0075,0.9297,-1.7664,1.5013,-0.2587,1.7015
67,True,Optimization terminated successfully.,16729,21953,536.4773,0,1,-0.1153,-0.6905,-1.0782,-0.2395,-0.3973,-0.3274,0.4419,1.8539,0.2543,-0.1403,-1.9673,0.2338,0.1717,2.7899,3.1895,1.3919
68,True,Optimization terminated successfully.,19279,25204,826.1158,0,1,0.1396,-0.2588,-1.2376,-0.6783,-1.7928,-0.7515,-0.5426,1.9038,0.4053,2.4636,-0.5455,1.5753,0.2620,2.2737,-0.7608,0.7537
69,True,Optimization terminated successfully.,10397,13811,5100.5072,0,1,0.4654,-1.2664,0.1338,-1.5492,-1.1130,-1.2381,0.8129,-0.2103,0.5927,-0.1681,1.1774,-0.6312,2.3600,1.3278,0.3098,0.3787
70,True,Optimization terminated successfully.,28468,37201,672.7092,0,1,-0.2240,-0.9753,-0.0664,-0.6327,0.1604,-0.1565,0.9446,0.1699,1.2948,-1.0289,-2.5335,-0.5827,2.6907,1.4351,4.4691,1.6075
71,True,Optimization terminated successfully.,7890,10487,8217.6388,0,1,0.1703,-0.8088,-0.4121,-1.1487,-0.3485,-0.8095,0.1847,0.1381,0.4357,-0.4857,-0.3521,0.6754,0.8215,1.0066,-0.2177,0.6563
72,True,Optimization terminated successfully.,16088,21089,610.3405,0,1,-0.0842,-0.9554,-0.2060,-0.3304,-1.3984,-0.3775,0.8354,0.1938,0.3723,1.6152,-1.7821,-0.4440,2.8087,2.5288,0.4337,1.3436
73,True,Optimization terminated successfully.,15647,20544,1747.4075,0,1,-0.0975,-0.6023,-0.7913,-1.3546,-1.3716,-0.3547,0.2776,1.6049,1.2779,0.5981,-1.8553,0.6313,0.6526,1.0236,0.1960,1.3677
74,True,Optimization terminated successfully.,20302,26469,998.8005,0,1,-0.3347,-1.6515,-0.1235,0.2080,-1.0198,0.0273,2.0570,0.1513,-0.3206,0.9199,-3.1298,-2.3866,2.5818,3.6686,1.3651,1.9081
75,True,Optimization terminated successfully.,8892,11800,1361.2336,0,1,-0.2453,-0.1077,-0.8290,-0.5901,-0.8139,-0.1284,-0.3662,2.1364,0.9719,1.2626,-2.6409,1.8313,-0.7939,1.9016,0.7465,1.6744
76,True,Optimization terminated successfully.,9967,13152,6167.6309,0,1,0.2087,-1.1475,-0.4045,-0.9809,-0.1183,-0.8144,0.2908,0.0905,0.7584,-0.5815,-0.2552,-0.0517,0.4980,1.1247,1.4772,0.9802
77,True,Optimization terminated successfully.,8990,12005,4375.2816,1,0,-0.1308,-1.1053,-1.5496,-1.5676,-0.0987,-0.3884,0.5316,0.3859,1.7340,-1.6926,-1.8378,-0.3321,0.2233,-1.0571,5.2025,0.9529
78,True,Optimization terminated successfully.,19452,25474,2186.8938,0,1,0.1478,-1.2266,-1.6572,-0.3312,-1.5704,-0.7298,1.0266,2.5088,-0.9638,0.7892,-0.5610,-0.8997,-1.1701,4.2911,0.1464,0.9813
79,True,Optimization terminated successfully.,8803,11649,6257.1855,0,1,-0.2309,-0.5744,-0.7524,-0.9416,-0.0636,-0.1817,0.2616,0.6679,0.5575,-0.3735,-2.4703,0.8996,0.0534,1.1982,0.4435,1.4973
80,True,Optimization terminated successfully.,16079,20987,599.7560,0,1,-0.2502,-0.6756,-1.1096,-1.2145,0.1624,-0.1340,0.4927,1.9808,1.9080,-1.1416,-2.6365,0.1671,0.0397,0.2747,4.6774,1.6106
