Detector,2026 rsidis,2025 rsidis,diff,status
hchv13:10:016:V0Set,1645,1645,0,MATCH
hchv13:10:016:VMon,1646,1646,0,MATCH
hchv13:10:017:IMon,515,515,0,MATCH
hchv13:10:017:V0Set,1430,1430,0,MATCH
hchv13:10:017:VMon,1430.5,1430.5,0.0,MATCH
hchv13:10:018:IMon,504,504,0,MATCH
hchv13:10:018:V0Set,1400,1400,0,MATCH
hchv13:10:018:VMon,1400.5,1401,-0.5,MATCH
hchv13:10:019:IMon,504,503.5,0.5,MATCH
hchv13:10:019:V0Set,1400,1400,0,MATCH
hchv13:10:019:VMon,1400.5,1401,-0.5,MATCH
hchv13:10:023:IMon,531,531.5,-0.5,MATCH
hchv13:10:023:V0Set,1470,1470,0,MATCH
hchv13:10:023:VMon,1470.5,1471,-0.5,MATCH
hchv13:12:000:IMon,0,0,0,MATCH
hchv13:12:000:V0Set,1150,1150,0,MATCH
hchv13:12:000:VMon,0.5,0.5,0.0,MATCH
hchv13:12:001:IMon,0,0,0,MATCH
hchv13:12:001:V0Set,1150,1150,0,MATCH
hchv13:12:001:VMon,0,0,0,MATCH
hchv13:12:002:IMon,0,0,0,MATCH
hchv13:12:002:V0Set,970,970,0,MATCH
hchv13:12:002:VMon,0.5,0.5,0.0,MATCH
hchv13:12:003:IMon,0,0,0,MATCH
hchv13:12:003:V0Set,1040,1040,0,MATCH
hchv13:12:003:VMon,0,0,0,MATCH
hchv13:12:004:IMon,0,0,0,MATCH
hchv13:12:004:V0Set,970,970,0,MATCH
hchv13:12:004:VMon,0,0,0,MATCH
hchv13:12:005:IMon,0,0,0,MATCH
hchv13:12:005:V0Set,1050,1050,0,MATCH
hchv13:12:005:VMon,0.5,0,0.5,MATCH
hchv13:12:006:IMon,0,0,0,MATCH
hchv13:12:006:V0Set,830,830,0,MATCH
hchv13:12:006:VMon,0.5,0.5,0.0,MATCH
hchv13:12:007:IMon,0,0,0,MATCH
hchv13:12:007:V0Set,1050,1050,0,MATCH
hchv13:12:007:VMon,0,0,0,MATCH
hchv13:12:008:IMon,0,0,0,MATCH
hchv13:12:008:V0Set,1000,1000,0,MATCH
hchv13:12:008:VMon,0.5,0.5,0.0,MATCH
hchv13:12:009:IMon,0,0,0,MATCH
hchv13:12:009:V0Set,1030,1030,0,MATCH
hchv13:12:009:VMon,0,0,0,MATCH
hchv13:12:010:IMon,0,0,0,MATCH
hchv13:12:010:V0Set,910,910,0,MATCH
hchv13:12:010:VMon,0.5,0.5,0.0,MATCH
hchv13:12:011:IMon,0,0,0,MATCH
hchv13:12:011:V0Set,1010,1010,0,MATCH
hchv13:12:011:VMon,0.5,0,0.5,MATCH
hchv13:12:012:IMon,0,0,0,MATCH
hchv13:12:012:V0Set,890,890,0,MATCH
hchv13:12:012:VMon,0,0,0,MATCH
hchv13:12:013:IMon,0,0,0,MATCH
hchv13:12:013:V0Set,1040,1040,0,MATCH
hchv13:12:013:VMon,0,0,0,MATCH
hchv13:12:014:IMon,0,0,0,MATCH
hchv13:12:014:V0Set,990,990,0,MATCH
hchv13:12:014:VMon,0.5,0,0.5,MATCH
hchv13:12:015:IMon,0,0,0,MATCH
hchv13:12:015:V0Set,1040,1040,0,MATCH
hchv13:12:015:VMon,0.5,0,0.5,MATCH
hchv13:14:000:IMon,0,0,0,MATCH
hchv13:14:000:V0Set,880,880,0,MATCH
hchv13:14:000:VMon,0,0,0,MATCH
hchv13:14:001:IMon,0,0,0,MATCH
hchv13:14:001:V0Set,940,940,0,MATCH
hchv13:14:001:VMon,0,0,0,MATCH
hchv13:14:002:IMon,0,0,0,MATCH
hchv13:14:002:V0Set,990,990,0,MATCH
hchv13:14:002:VMon,0,0,0,MATCH
hchv13:14:003:IMon,0,0,0,MATCH
