run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
23983,coin,PI-SIDIS,C,-1.531,-4.868,CTime.ePiCoinTime_ROC2,329671,4805,51.3429,0.289781,4805,1,0,1,3,12.7762,3,4.25874,1.25622e-07,51.3429,0.289781,,OK
23984,coin,PI-SIDIS,Cu,-1.531,-4.868,CTime.ePiCoinTime_ROC2,219592,2957,51.3227,0.26901,2957,1,0,1,3,4.84692,3,1.61564,9.45674e-09,51.3227,0.26901,,OK
23985,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,234022,4190,51.3505,0.284996,4190,1,0,1,3,7.05441,3,2.35147,1.79742e-06,51.3505,0.284996,,OK
23986,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,225524,4117,51.3974,0.30631,4117,1,0,1,3,9.61359,3,3.20453,1.214e-06,51.3974,0.30631,,OK
23987,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,199384,3752,51.3545,0.300235,3752,1,0,1,3,3.5357,3,1.17857,5.98403e-08,51.3545,0.300235,,OK
23988,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,214735,3915,51.3678,0.30737,3915,1,0,1,3,4.98278,3,1.66093,1.46378e-06,51.3678,0.30737,,OK
23989,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,334609,6058,51.3249,0.285905,6058,1,0,1,3,14.1308,3,4.71028,6.13762e-07,51.3249,0.285905,,OK
23990,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,98929,2059,51.3899,0.311254,2059,1,0,1,3,0.688795,3,0.229598,2.38259e-08,51.3899,0.311254,,OK
23991,coin,PI-SIDIS,LH2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,26812,662,51.4124,0.28892,662,1,0,1,3,8.27938,3,2.75979,1.4146e-08,51.4124,0.28892,,OK
23992,coin,PI-SIDIS,LD2,-1.531,-4.868,CTime.ePiCoinTime_ROC2,413196,6063,51.3576,0.280357,6063,1,0,1,3,1.77321,3,0.591069,4.22556e-06,51.3576,0.280357,,OK
