run,spec,run_type,target,hms_p,shms_p,fit_variable,all_events,selected_events,fit_mean,fit_sigma,fit_entries,fit_attempted,fit_status,fit_valid,covariance_status,fit_chi2,fit_ndf,fit_chi2_ndf,fit_edm,candidate_mean,candidate_sigma,failure_reason,status
24937,shms,SHMSDIS,Cu,-3.642,4.868,P.gtr.beta,1959169,141393,0.97981,0.046214,141393,1,0,1,3,5.64624,10,0.564624,3.68291e-06,0.97981,0.046214,,OK
24968,shms,SHMSDIS,LD2,-3.642,3.632,P.gtr.beta,1718585,161335,0.982631,0.0456451,161335,1,0,1,3,17.0795,10,1.70795,1.07558e-05,0.982631,0.0456451,,OK
24980,shms,SHMSDIS,LH2,-3.642,3.632,P.gtr.beta,1745056,166501,0.982777,0.0469149,166501,1,0,1,3,6.50323,10,0.650323,2.07018e-10,0.982777,0.0469149,,OK
24984,shms,SHMSDIS,Dummy,-3.642,3.632,P.gtr.beta,2150215,187479,0.983561,0.0503723,187479,1,0,1,3,35.0134,10,3.50134,1.21191e-05,0.983561,0.0503723,,OK
24990,shms,SHMSDIS,C,-3.642,3.632,P.gtr.beta,2039456,189225,0.983195,0.0449793,189225,1,0,1,3,15.4966,10,1.54966,3.54367e-06,0.983195,0.0449793,,OK
24997,shms,SHMSDIS,Cu,-3.642,3.632,P.gtr.beta,2076342,187317,0.984195,0.0476221,187317,1,0,1,3,8.04168,10,0.804168,2.72129e-08,0.984195,0.0476221,,OK
25022,shms,SHMSDIS,LH2,-3.642,-6.538,P.gtr.beta,1794473,881702,0.992416,0.0473725,881702,1,0,1,3,10.6572,10,1.06572,1.23147e-06,0.992416,0.0473725,,OK
25024,shms,SHMSDIS,LD2,-3.642,-6.538,P.gtr.beta,2015396,1012483,0.994004,0.0469688,1.01248e+06,1,0,1,3,9.48175,10,0.948175,8.92076e-07,0.994004,0.0469688,,OK
25029,shms,SHMSDIS,Dummy,-3.642,-6.538,P.gtr.beta,1941124,994305,0.993107,0.0476813,994305,1,0,1,3,15.4766,10,1.54766,2.07731e-07,0.993107,0.0476813,,OK
25037,shms,SHMSDIS,C,-3.642,-6.538,P.gtr.beta,1239046,620554,0.993106,0.0485646,620554,1,0,1,3,15.1467,10,1.51467,6.51925e-07,0.993106,0.0485646,,OK
