fit_model,de0_fixed,dthe_fixed,dthp_fixed,dpp_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,sse
dpeOnly,1,1,1,1,data_minus_sim,23846,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,14.924699,0.14327,127.745267,2.078772,-9.910846,0.070881,-11.106537,0.079419,0,-6.52159856163044,0,0,56.2339197810814,46.046728392897,-26.7217535500378,-37.4999877720015,-41.3092207810815,81.698538607103,16.8109075500378,26.3934507720015,9360.32378838642
dpeOnly,1,1,1,1,data_minus_sim,23846,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.843965,0.330335,188.578855,14.77815,-11.007439,0.094891,-13.458362,0.11869,0,-9.43561206923451,0,0,81.3606429731062,66.621559433146,-38.6617020236847,-54.2559211324996,-59.5166779731062,121.957295566854,27.6542630236847,40.7975591324996,20845.0159934884
dpeOnly,1,1,1,1,data_minus_sim,23846,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.40379,0.380003,25.296393,0.145353,-16.581483,0.210578,-15.959466,0.280808,0,-49.7199736659138,0,0,428.721422243977,351.05535881435,-203.72380640411,-285.895917523306,535.682367756022,-325.75896581435,187.14232340411,269.936451523306,500962.440003216
dpeOnly,1,1,1,1,data_minus_sim,23847,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.614161,0.08435,131.606765,1.940663,-10.101213,0.04108,-10.461112,0.04792,0,-6.59647654102186,0,0,56.879571647978,46.5754156383725,-27.028560369365,-37.9305452932956,-43.265410647978,85.0313493616275,16.927347369365,27.4694332932956,10143.3309872153
dpeOnly,1,1,1,1,data_minus_sim,23847,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.924709,0.217407,132.262165,1.822917,-10.175556,0.109953,-7.20245,0.127961,0,-6.18576704326077,0,0,53.3381385572771,43.6755394020376,-25.3457094738189,-35.5689155489411,-46.4134295572771,88.5866255979624,15.1701534738189,28.3664655489411,11036.5866022604
dpeOnly,1,1,1,1,data_minus_sim,23847,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,9.141215,0.160171,124.168082,2.006817,-9.669834,0.075615,-7.837815,0.084801,0,-5.97631877380195,0,0,51.5321247292673,42.1966983655968,-24.4875111371581,-34.3645624337734,-42.3909097292672,81.9713836344033,14.8176771371581,26.5267474337734,9439.52884776966
dpeOnly,1,1,1,1,data_minus_sim,23847,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,15.018973,0.151241,129.141385,3.741106,-9.939137,0.075764,-11.150598,0.085417,0,-6.58502424312362,0,0,56.7808216873307,46.4945549650558,-26.981635450708,-37.8646931824846,-41.7618486873307,82.6468300349442,17.042498450708,26.7140951824846,9578.64015546969
dpeOnly,1,1,1,1,data_minus_sim,23847,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.993534,0.333327,192.649162,16.457139,-11.06242,0.098195,-13.601666,0.122568,0,-9.61416291774494,0,0,82.9002369847728,67.8822445777443,-39.3933005305473,-55.2826103057976,-60.9067029847728,124.766917422256,28.3308805305473,41.6809443057976,21816.3500613864
dpeOnly,1,1,1,1,data_minus_sim,23847,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,965.379635,0.401656,25.736706,0.16806,-16.508354,0.234245,-16.27102,0.302155,0,-49.7947490379065,0,0,429.366189355982,351.58332158484,-204.030192797433,-286.325885039532,536.013445644018,-325.84661558484,187.521838797433,270.054865039532,501580.500956758
dpeOnly,1,1,1,1,data_minus_sim,23848,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.81323,0.091137,131.880272,1.923071,-10.118301,0.044435,-10.456815,0.051027,0,-6.61769352610655,0,0,57.0625197742654,46.7252213555258,-27.1154953502826,-38.0525455473308,-43.2492897742654,85.1550506444742,16.9971943502826,27.5957305473308,10172.3126764635
