run,dp_idx,dp_label,dp_lo,dp_hi,var,norm_win_lo,norm_win_hi,intD_win,intS_win,sim_scale,entriesD,entriesS,muD,muD_err,sigD,sigD_err,statusD,chi2D,ndfD,muS,muS_err,sigS,sigS_err,statusS,chi2S,ndfS,dmu_GeV,dmu_err_GeV,dmu_MeV,dmu_err_MeV
23840,3,b3,0.000000,1.000000,Em,0.005172,0.033872,51428.000000,38.143633,1348.272208,67769.000000,17090.000000,0.018825,0.000035,0.006638,0.000035,0,1630.485261,11,-0.105078,0.003359,0.023004,0.000610,4,879.290406,11,0.123903,0.003359,123.902669,3.359200
23840,3,b3,0.000000,1.000000,Pmz,-0.052202,0.016564,59753.000000,58.441747,1022.436925,67769.000000,17090.000000,-0.014563,0.000048,0.010171,0.000047,0,4454.087083,9,-0.004940,0.000052,0.005784,0.000036,0,1469.752501,9,-0.009624,0.000071,-9.623696,0.070930
23840,3,b3,0.000000,1.000000,Pmx,-0.054098,0.019474,60821.000000,58.739419,1035.437556,67769.000000,17090.000000,-0.015302,0.000053,0.011736,0.000055,0,3277.393563,9,-0.004470,0.000059,0.006668,0.000046,0,1318.308768,9,-0.010832,0.000080,-10.831713,0.079626
23840,3,b3,0.000000,1.000000,Pmy,-0.018449,0.036431,61148.000000,59.305980,1031.059597,67769.000000,17090.000000,0.009027,0.000042,0.009988,0.000038,0,447.209531,6,-0.000995,0.000051,0.006445,0.000039,0,13.626260,4,0.010021,0.000066,10.021235,0.066004
23840,4,b4,1.000000,2.000000,W,0.925931,1.003766,39229.000000,23.035610,1702.972052,43377.000000,5564.000000,0.964254,0.000086,0.015876,0.000081,0,317.089956,8,0.942723,0.000318,0.012711,0.000277,0,54.880039,8,0.021532,0.000330,21.531604,0.329770
23840,4,b4,1.000000,2.000000,Em,0.009829,0.037520,36969.000000,6.698610,5518.905945,43377.000000,5564.000000,0.023380,0.000037,0.006352,0.000036,0,529.022852,11,-0.163360,0.016609,0.036688,0.002547,4,74.721665,11,0.186740,0.016609,186.740051,16.608879
23840,4,b4,1.000000,2.000000,Pmz,-0.045180,0.011258,39823.000000,23.711129,1679.506670,43377.000000,5564.000000,-0.015404,0.000047,0.008610,0.000044,0,1866.053785,7,-0.004695,0.000082,0.005746,0.000067,0,147.715869,7,-0.010710,0.000095,-10.709578,0.094512
23840,4,b4,1.000000,2.000000,Pmx,-0.047710,0.013942,39197.000000,23.700640,1653.837177,43377.000000,5564.000000,-0.016930,0.000055,0.010467,0.000053,0,904.284414,7,-0.003691,0.000105,0.007328,0.000100,0,109.727757,7,-0.013239,0.000119,-13.239251,0.118570
23840,4,b4,1.000000,2.000000,Pmy,-0.015789,0.040355,38872.000000,23.544503,1651.001104,43377.000000,5564.000000,0.012365,0.000055,0.010572,0.000049,0,413.109953,7,-0.000349,0.000099,0.007175,0.000081,0,9.028935,6,0.012714,0.000114,12.713633,0.113646
23840,5,b5,2.000000,3.000000,W,0.928741,0.998946,1750.000000,0.000000,1.000000,2118.000000,0.000000,0.964076,0.000363,0.014143,0.000311,0,15.396044,7,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,0.964076,0.000363,964.075773,0.362565
23840,5,b5,2.000000,3.000000,Em,0.012389,0.036285,1677.000000,0.000000,1.000000,2118.000000,0.000000,0.024962,0.000135,0.005057,0.000123,0,26.383665,9,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,0.024962,0.000135,24.962315,0.134675
23840,5,b5,2.000000,3.000000,Pmz,-0.046451,0.015428,1737.000000,0.000000,1.000000,2118.000000,0.000000,-0.016175,0.000198,0.007988,0.000191,0,83.998698,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-0.016175,0.000198,-16.174635,0.198354
23840,5,b5,2.000000,3.000000,Pmx,-0.048342,0.019931,1681.000000,0.000000,1.000000,2118.000000,0.000000,-0.015529,0.000269,0.010388,0.000264,0,69.270251,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-0.015529,0.000269,-15.529435,0.268824
23840,5,b5,2.000000,3.000000,Pmy,-0.015621,0.050707,1634.000000,0.000000,1.000000,2118.000000,0.000000,0.018110,0.000296,0.011538,0.000273,0,24.549674,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,0.018110,0.000296,18.109668,0.295925
23841,0,full,-10.000000,20.000000,W,0.911091,1.011695,48387.000000,202.477405,238.974813,71932.000000,95136.000000,0.958675,0.000104,0.021136,0.000099,0,889.555693,12,0.945483,0.000059,0.013801,0.000051,0,5105.420217,12,0.013193,0.000119,13.192509,0.119308
23841,0,full,-10.000000,20.000000,Em,0.005407,0.034387,41202.000000,133.623838,308.343185,71932.000000,95136.000000,0.019343,0.000042,0.006959,0.000041,0,996.808443,11,-0.115848,0.001385,0.024539,0.000276,4,3695.939767,11,0.135191,0.001386,135.191432,1.386100
23841,0,full,-10.000000,20.000000,Pmz,-0.055538,0.016417,48504.000000,205.874800,235.599500,71932.000000,95136.000000,-0.015309,0.000053,0.009766,0.000053,0,4237.497207,9,-0.005253,0.000027,0.006067,0.000020,0,8556.856903,9,-0.010057,0.000060,-10.056658,0.059903
23841,0,full,-10.000000,20.000000,Pmx,-0.057117,0.020770,49351.000000,204.811230,240.958467,71932.000000,95136.000000,-0.014555,0.000065,0.012010,0.000066,0,4207.092411,10,-0.004339,0.000029,0.006505,0.000023,0,8819.488676,10,-0.010216,0.000071,-10.215880,0.071099
23841,0,full,-10.000000,20.000000,Pmy,-0.022689,0.039409,60214.000000,259.091408,232.404465,71932.000000,95136.000000,0.008285,0.000045,0.010794,0.000043,0,1312.473575,8,-0.000725,0.000022,0.006433,0.000017,0,65.198938,7,0.009010,0.000050,9.009724,0.050148
23841,1,b1,-2.000000,-1.000000,W,0.905036,1.006064,7631.000000,41.400083,184.323303,10847.000000,21789.000000,0.953397,0.000292,0.022073,0.000300,0,204.831383,11,0.946753,0.000132,0.015432,0.000117,0,1164.085840,11,0.006644,0.000321,6.644117,0.320784
23841,1,b1,-2.000000,-1.000000,Em,0.004089,0.031233,5556.000000,27.095950,205.049093,10847.000000,21789.000000,0.016741,0.000089,0.005489,0.000084,0,293.233411,11,-0.113495,0.002937,0.025552,0.000430,4,910.668137,11,0.130236,0.002939,130.236260,2.938709
23841,1,b1,-2.000000,-1.000000,Pmz,-0.062762,0.017831,7395.000000,43.058421,171.743410,10847.000000,21789.000000,-0.015999,0.000177,0.010067,0.000171,0,1118.086777,10,-0.005869,0.000057,0.006607,0.000044,0,2887.214341,10,-0.010130,0.000186,-10.130305,0.185974
23841,1,b1,-2.000000,-1.000000,Pmx,-0.058559,0.023118,7704.000000,42.001459,183.422200,10847.000000,21789.000000,-0.011716,0.000216,0.011564,0.000239,0,1374.214168,11,-0.004306,0.000053,0.006010,0.000038,0,3014.435655,10,-0.007410,0.000223,-7.410035,0.222786
23841,1,b1,-2.000000,-1.000000,Pmy,-0.024476,0.035811,9093.000000,49.076705,185.281387,10847.000000,21789.000000,0.005785,0.000104,0.009567,0.000099,0,230.771511,7,-0.000225,0.000042,0.006054,0.000031,0,5.364760,5,0.006010,0.000112,6.009902,0.111910
23841,2,b2,-1.000000,0.000000,W,0.905846,1.008627,13076.000000,62.247354,210.065154,16131.000000,24193.000000,0.954357,0.000212,0.021434,0.000207,0,248.575053,11,0.945539,0.000104,0.013657,0.000086,0,1308.568581,11,0.008818,0.000236,8.817599,0.236229
23841,2,b2,-1.000000,0.000000,Em,0.003990,0.031980,10979.000000,49.842018,220.275994,16131.000000,24193.000000,0.016907,0.000065,0.005746,0.000060,0,472.837191,11,-0.105300,0.002056,0.023212,0.000331,4,1223.397141,11,0.122207,0.002057,122.206936,2.056694
23841,2,b2,-1.000000,0.000000,Pmz,-0.056517,0.016927,13404.000000,63.224036,212.007979,16131.000000,24193.000000,-0.014840,0.000104,0.009748,0.000105,0,1328.654552,9,-0.005177,0.000046,0.005832,0.000032,0,2677.903048,9,-0.009664,0.000114,-9.663695,0.114043
23841,2,b2,-1.000000,0.000000,Pmx,-0.053596,0.021793,13330.000000,62.102181,214.646244,16131.000000,24193.000000,-0.011793,0.000117,0.011075,0.000125,0,1389.208061,10,-0.004297,0.000048,0.006191,0.000036,0,2529.285521,9,-0.007496,0.000127,-7.495708,0.126790
23841,2,b2,-1.000000,0.000000,Pmy,-0.019610,0.034706,14314.000000,66.879036,214.028203,16131.000000,24193.000000,0.007381,0.000079,0.009256,0.000071,0,140.994512,6,-0.000849,0.000041,0.006174,0.000031,0,8.068324,5,0.008230,0.000089,8.230092,0.089259
23841,3,b3,0.000000,1.000000,W,0.913577,1.009861,15013.000000,58.459643,256.809641,17352.000000,17090.000000,0.959571,0.000177,0.019998,0.000175,0,294.660589,11,0.944962,0.000110,0.012901,0.000106,0,834.963484,11,0.014609,0.000209,14.609115,0.208569
23841,3,b3,0.000000,1.000000,Em,0.005655,0.034102,13586.000000,38.541564,352.502559,17352.000000,17090.000000,0.019160,0.000067,0.006425,0.000065,0,483.908648,11,-0.110157,0.002814,0.023465,0.000513,4,876.326995,11,0.129317,0.002815,129.317225,2.814748
23841,3,b3,0.000000,1.000000,Pmz,-0.052212,0.016058,15340.000000,58.441747,262.483598,17352.000000,17090.000000,-0.014857,0.000092,0.010027,0.000088,0,1119.881918,9,-0.004940,0.000052,0.005784,0.000036,0,1469.752501,9,-0.009917,0.000106,-9.917448,0.106079
23841,3,b3,0.000000,1.000000,Pmx,-0.053802,0.018856,15334.000000,58.395340,262.589446,17352.000000,17090.000000,-0.015439,0.000104,0.011767,0.000112,0,863.402171,9,-0.004470,0.000059,0.006668,0.000046,0,1318.308768,9,-0.010969,0.000120,-10.968771,0.119934
23841,3,b3,0.000000,1.000000,Pmy,-0.018492,0.036495,15709.000000,59.305980,264.880539,17352.000000,17090.000000,0.008999,0.000083,0.009999,0.000076,0,144.362697,6,-0.000995,0.000051,0.006445,0.000039,0,13.626260,4,0.009994,0.000098,9.994011,0.097583
23841,4,b4,1.000000,2.000000,W,0.925925,1.004193,9691.000000,23.035610,420.696478,10744.000000,5564.000000,0.964305,0.000173,0.015882,0.000165,0,100.863986,8,0.942723,0.000318,0.012711,0.000277,0,54.880039,8,0.021582,0.000362,21.582258,0.362477
23841,4,b4,1.000000,2.000000,Em,0.010149,0.037635,9063.000000,3.945909,2296.809064,10744.000000,5564.000000,0.023604,0.000073,0.006263,0.000068,0,105.890468,11,-0.162633,0.012592,0.036403,0.002056,4,74.675793,11,0.186237,0.012593,186.237103,12.592691
23841,4,b4,1.000000,2.000000,Pmz,-0.044646,0.010628,9889.000000,23.711129,417.061534,10744.000000,5564.000000,-0.015644,0.000093,0.008525,0.000087,0,322.556032,6,-0.004695,0.000082,0.005746,0.000067,0,142.716232,6,-0.010949,0.000124,-10.949081,0.123922
23841,4,b4,1.000000,2.000000,Pmx,-0.047875,0.013624,9728.000000,23.700640,410.453046,10744.000000,5564.000000,-0.017096,0.000113,0.010602,0.000106,0,205.415059,7,-0.003691,0.000105,0.007328,0.000100,0,109.727757,7,-0.013405,0.000154,-13.405001,0.154186
23841,4,b4,1.000000,2.000000,Pmy,-0.016050,0.039846,9700.000000,23.544503,411.985766,10744.000000,5564.000000,0.012212,0.000109,0.010503,0.000098,0,122.678421,7,-0.000349,0.000099,0.007175,0.000081,0,9.028935,6,0.012561,0.000148,12.561140,0.147867
23841,5,b5,2.000000,3.000000,W,0.925432,1.000027,409.000000,0.000000,1.000000,491.000000,0.000000,0.963195,0.000747,0.014060,0.000710,0,11.048007,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,0.963195,0.000747,963.195482,0.747266
23841,5,b5,2.000000,3.000000,Em,0.012830,0.035869,379.000000,0.000000,1.000000,491.000000,0.000000,0.025171,0.000262,0.004718,0.000233,0,18.628728,9,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,0.025171,0.000262,25.170557,0.261526
23841,5,b5,2.000000,3.000000,Pmz,-0.046429,0.016294,411.000000,0.000000,1.000000,491.000000,0.000000,-0.016223,0.000450,0.008920,0.000499,0,17.240684,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-0.016223,0.000450,-16.223231,0.450374
23841,5,b5,2.000000,3.000000,Pmx,-0.050476,0.020531,399.000000,0.000000,1.000000,491.000000,0.000000,-0.015588,0.000568,0.010667,0.000606,0,27.236960,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,-0.015588,0.000568,-15.588218,0.568438
23841,5,b5,2.000000,3.000000,Pmy,-0.016903,0.049976,387.000000,0.000000,1.000000,491.000000,0.000000,0.018372,0.000597,0.011098,0.000541,0,21.429022,8,0.000000,0.000000,0.000000,0.000000,-999,0.000000,0,0.018372,0.000597,18.371941,0.596742
23842,0,full,-10.000000,20.000000,W,0.911735,1.009158,83780.000000,202.477405,413.774564,124188.000000,95136.000000,0.958541,0.000080,0.020621,0.000079,0,761.682918,10,0.945385,0.000060,0.014139,0.000062,0,4162.668866,10,0.013156,0.000100,13.155856,0.099538
