fit_model,de0_fixed,sign_convention,run,dp_idx,dp_label,dp_lo,dp_hi,e0_MeV,the0_deg,pe0_MeV,q0_MeV,thq0_deg,W0_MeV,dW_MeV,dW_err_MeV,dEm_MeV,dEm_err_MeV,dPmz_MeV,dPmz_err_MeV,dPmx_MeV,dPmx_err_MeV,dthe,dpe,dthp,dpp,pred_dW_MeV,pred_dEm_MeV,pred_dPmz_MeV,pred_dPmx_MeV,res_dW_MeV,res_dEm_MeV,res_dPmz_MeV,res_dPmx_MeV,det,matrix_ok
full4,1,data_minus_sim,23846,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.843965,0.330335,188.578855,14.77815,-11.007439,0.094891,-13.458362,0.11869,6157.4558392566,-10055.493413372,-14320.6555438715,33671.3141515703,21.8439650000364,188.578855,-11.0074390000082,-13.4583619999976,-3.64046570666687e-11,2.55795384873636e-13,8.16235967704415e-12,-2.42117437210254e-12,1.23275984544669,1
full4,1,data_minus_sim,23846,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,964.40379,0.380003,25.296393,0.145353,-16.581483,0.210578,-15.959466,0.280808,-12888.6996446556,20930.8697007152,29699.0795503586,-70286.7321559605,964.403789999866,25.296393000026,-16.5814830000163,-15.9594659999857,1.34264155349229e-10,-2.60023114151409e-11,1.63069557856943e-11,-1.43050016276902e-11,1.23275984544669,1
full4,1,data_minus_sim,23847,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.614161,0.08435,131.606765,1.940663,-10.101213,0.04108,-10.461112,0.04792,4238.65682415081,-6921.81493680215,-9857.08037968148,23177.1834917721,13.6141610000195,131.606764999997,-10.1012130000017,-10.46111199999,-1.95221616650088e-11,3.18323145620525e-12,1.73550063209404e-12,-1.00470742836478e-11,1.23275984544669,1
full4,1,data_minus_sim,23847,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.924709,0.217407,132.262165,1.822917,-10.175556,0.109953,-7.20245,0.127961,4351.79560094703,-7105.75498025158,-10119.6745683005,23794.4444539676,6.92470900004992,132.262165,-10.175556000002,-7.20244999999704,-4.9915627187147e-11,-8.5265128291212e-14,1.96109795069788e-12,-2.95674595918172e-12,1.23275984544669,1
full4,1,data_minus_sim,23847,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,9.141215,0.160171,124.168082,2.006817,-9.669834,0.075615,-7.837815,0.084801,4045.28920505452,-6605.59487318096,-9407.2143876116,22119.0223073207,9.14121500002511,124.168081999989,-9.66983400000026,-7.83781499999532,-2.51123566386013e-11,1.07718278741231e-11,2.64677169070637e-13,-4.68336480707876e-12,1.23275984544669,1
full4,1,data_minus_sim,23847,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,15.018973,0.151241,129.141385,3.741106,-9.939137,0.075764,-11.150598,0.085417,4135.54207173191,-6753.62772632257,-9617.37891857958,22613.6728238534,15.0189730000347,129.141384999995,-9.93913700000121,-11.1505979999965,-3.47473161355083e-11,4.66116034658626e-12,1.20969900763157e-12,-3.46567219366989e-12,1.23275984544669,1
full4,1,data_minus_sim,23847,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.993534,0.333327,192.649162,16.457139,-11.06242,0.098195,-13.601666,0.122568,6300.89195229504,-10289.6914924327,-14654.2204796993,34455.6909573217,21.9935340000084,192.649161999987,-11.062420000002,-13.6016659999805,-8.36664071357518e-12,1.3017142919125e-11,2.02149408323749e-12,-1.95310434492058e-11,1.23275984544669,1
full4,1,data_minus_sim,23847,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,965.379635,0.401656,25.736706,0.16806,-16.508354,0.234245,-16.27102,0.302155,-12883.7215227997,20922.6290069229,29687.3530082027,-70259.2736756944,965.379634999961,25.7367060000543,-16.5083540000196,-16.2710200000292,3.88808985007927e-11,-5.42534905889624e-11,1.96074267933e-11,2.92388335765281e-11,1.23275984544669,1
full4,1,data_minus_sim,23848,0,full,-10,20,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,13.81323,0.091137,131.880272,1.923071,-10.118301,0.044435,-10.456815,0.051027,4245.25010034349,-6932.60252485884,-9872.47436433092,23213.2724046251,13.8132300000507,131.880271999995,-10.118300999995,-10.4568150000014,-5.06794606280891e-11,5.11590769747272e-12,-5.02886621234211e-12,1.36957112317759e-12,1.23275984544669,1
full4,1,data_minus_sim,23848,1,b1,-2,-1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,6.278605,0.230064,132.013495,1.608594,-10.378756,0.125188,-7.167607,0.135597,4344.87171434937,-7094.37577781461,-10103.3978547367,23756.3574049429,6.2786050000359,132.013494999999,-10.3787560000055,-7.16760699999941,-3.58957308321806e-11,7.67386154620908e-13,5.52446977053478e-12,-5.93303184359684e-13,1.23275984544669,1
full4,1,data_minus_sim,23848,2,b2,-1,0,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,9.306108,0.171103,123.003068,2.046696,-9.645421,0.083015,-7.99735,0.092601,4001.67132836576,-6534.40134190085,-9305.75210538408,21880.5463641778,9.30610800001887,123.003067999998,-9.64542100000108,-7.99734999999055,-1.88666859912701e-11,1.83320025826106e-12,1.07824860151595e-12,-9.45288292086843e-12,1.23275984544669,1
full4,1,data_minus_sim,23848,3,b3,0,1,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,15.198727,0.161401,126.924855,3.281456,-10.014513,0.081644,-11.231883,0.089835,4050.31974531498,-6614.51048235181,-9419.19745430951,22147.6452750652,15.1987270000391,126.924854999997,-10.0145130000019,-11.2318829999967,-3.90709686826085e-11,2.51532128459075e-12,1.89714910447947e-12,-3.25783844346006e-12,1.23275984544669,1
full4,1,data_minus_sim,23848,4,b4,1,2,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,21.978302,0.33741,189.827606,15.603494,-11.02615,0.102122,-13.557468,0.126685,6200.18451715042,-10125.2698982136,-14420.0238704821,33904.9925896716,21.9783020000468,189.827605999992,-11.0261499999906,-13.5574679999918,-4.68247662865906e-11,8.35598257253878e-12,-9.40580946462433e-12,-8.21387402538676e-12,1.23275984544669,1
full4,1,data_minus_sim,23848,5,b5,2,3,8583.1,12.465,7060.65053801548,2274.83648305919,42.0620737637424,938.300000000001,965.163444,0.450771,25.4066,0.191735,-16.266375,0.256234,-15.908872,0.361283,-12884.6029996965,20924.0932209736,29689.3072045071,-70264.0327546083,965.16344399986,25.4066000000166,-16.2663750000065,-15.908872,1.40289557748474e-10,-1.66231473031075e-11,6.51922960059892e-12,-2.66453525910038e-14,1.23275984544669,1
