run,setting,ebeam_MeV,dp_idx,dp_label,dp_lo,dp_hi,dp_center,var,entries,fit_lo_GeV,fit_hi_GeV,mu_seed_GeV,sig_seed_GeV,peak_GeV,peak_err_GeV,sigma_GeV,sigma_err_GeV,peak_MeV,peak_err_MeV,sigma_MeV,sigma_err_MeV,fit_status,chi2,ndf,chi2_ndf,fit_valid
23844,A,8583.100000,3,b3,0.000000,1.000000,0.500000,W,56251.000000,0.913660,1.010071,0.961865,0.024103,0.959873,0.000100,0.020255,0.000099,959.873365,0.099551,20.254550,0.098624,0,865.479835,11,78.679985,1
23844,A,8583.100000,3,b3,0.000000,1.000000,0.500000,Em,56251.000000,0.005349,0.034060,0.019705,0.007178,0.019081,0.000039,0.006671,0.000038,19.081156,0.038632,6.670523,0.038265,0,1384.407778,11,125.855253,1
23844,A,8583.100000,4,b4,1.000000,2.000000,1.500000,W,36034.000000,0.925859,1.004311,0.965085,0.019613,0.964434,0.000095,0.016029,0.000090,964.434121,0.095320,16.028969,0.090077,0,254.775480,8,31.846935,1
23844,A,8583.100000,4,b4,1.000000,2.000000,1.500000,Em,36034.000000,0.009964,0.038283,0.024124,0.007080,0.023563,0.000041,0.006318,0.000038,23.562556,0.040592,6.317964,0.038127,0,384.365603,11,34.942328,1
23844,A,8583.100000,5,b5,2.000000,3.000000,2.500000,W,1833.000000,0.925792,1.003456,0.964624,0.019416,0.964756,0.000390,0.014429,0.000331,964.756246,0.390142,14.428976,0.330639,0,12.743559,8,1.592945,1
23844,A,8583.100000,5,b5,2.000000,3.000000,2.500000,Em,1833.000000,0.012463,0.036338,0.024401,0.005969,0.024943,0.000151,0.005273,0.000147,24.943414,0.150760,5.272674,0.146517,0,17.128101,9,1.903122,1
23845,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,W,211038.000000,0.911071,1.011713,0.961392,0.025161,0.958761,0.000061,0.021316,0.000058,958.761228,0.060848,21.316066,0.058454,0,2410.486082,12,200.873840,1
23845,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,Em,211038.000000,0.005293,0.034329,0.019811,0.007259,0.019293,0.000024,0.006921,0.000024,19.292807,0.024252,6.921388,0.023789,0,3191.675379,11,290.152307,1
23845,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,W,31461.000000,0.903143,1.010695,0.956919,0.026888,0.953350,0.000179,0.022962,0.000177,953.350270,0.179409,22.961913,0.177265,0,953.569576,13,73.351506,1
23845,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,Em,31461.000000,0.003944,0.030965,0.017455,0.006755,0.016592,0.000049,0.005341,0.000044,16.592150,0.048538,5.340995,0.044287,0,436.854106,10,43.685411,1
23845,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,W,47278.000000,0.906408,1.007763,0.957085,0.025339,0.954198,0.000125,0.021548,0.000124,954.198485,0.124538,21.548193,0.124246,0,761.835714,11,69.257792,1
23845,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,Em,47278.000000,0.004185,0.030882,0.017534,0.006674,0.016619,0.000036,0.005481,0.000033,16.619251,0.036123,5.480989,0.032550,0,960.144125,10,96.014412,1
23845,A,8583.100000,3,b3,0.000000,1.000000,0.500000,W,50682.000000,0.913518,1.010149,0.961834,0.024158,0.959813,0.000105,0.020169,0.000103,959.812916,0.104753,20.168539,0.103295,0,803.934386,11,73.084944,1
23845,A,8583.100000,3,b3,0.000000,1.000000,0.500000,Em,50682.000000,0.005483,0.034017,0.019750,0.007134,0.019117,0.000040,0.006590,0.000039,19.116551,0.040411,6.590307,0.039481,0,1310.300726,11,119.118248,1
23845,A,8583.100000,4,b4,1.000000,2.000000,1.500000,W,32274.000000,0.926375,1.003739,0.965057,0.019341,0.964420,0.000099,0.015849,0.000093,964.420339,0.099164,15.848677,0.092833,0,219.135745,8,27.391968,1
23845,A,8583.100000,4,b4,1.000000,2.000000,1.500000,Em,32274.000000,0.010131,0.037559,0.023845,0.006857,0.023544,0.000043,0.006333,0.000040,23.544428,0.042935,6.332813,0.040120,0,320.705792,11,29.155072,1
23845,A,8583.100000,5,b5,2.000000,3.000000,2.500000,W,1599.000000,0.927286,0.998595,0.962941,0.017827,0.964086,0.000378,0.013203,0.000344,964.085762,0.377720,13.202516,0.343771,0,17.195945,7,2.456564,1
23845,A,8583.100000,5,b5,2.000000,3.000000,2.500000,Em,1599.000000,0.012145,0.036915,0.024530,0.006192,0.025308,0.000163,0.005306,0.000157,25.307617,0.162890,5.305692,0.156847,0,9.194102,9,1.021567,1
23846,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,W,277305.000000,0.911292,1.012078,0.961685,0.025196,0.959064,0.000053,0.021301,0.000051,959.063869,0.053231,21.301337,0.050685,0,3131.556726,12,260.963061,1
23846,A,8583.100000,0,full,-10.000000,20.000000,-999.000000,Em,277305.000000,0.005462,0.034407,0.019934,0.007236,0.019436,0.000021,0.006897,0.000020,19.435599,0.020963,6.897062,0.020465,0,3655.279171,11,332.298106,1
23846,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,W,41163.000000,0.904752,1.006894,0.955823,0.025536,0.953563,0.000153,0.022228,0.000156,953.562520,0.152733,22.227945,0.155626,0,763.563269,11,69.414843,1
23846,A,8583.100000,1,b1,-2.000000,-1.000000,-1.500000,Em,41163.000000,0.004190,0.031125,0.017657,0.006734,0.016882,0.000044,0.005528,0.000042,16.881989,0.044359,5.528133,0.041945,0,898.629440,11,81.693585,1
23846,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,W,62219.000000,0.906684,1.008339,0.957511,0.025414,0.954767,0.000108,0.021462,0.000105,954.766809,0.108054,21.462460,0.105438,0,893.488428,11,81.226221,1
23846,A,8583.100000,2,b2,-1.000000,0.000000,-0.500000,Em,62219.000000,0.004338,0.031025,0.017681,0.006672,0.016961,0.000033,0.005627,0.000030,16.960808,0.032554,5.626690,0.029678,0,1809.369164,11,164.488106,1
23846,A,8583.100000,3,b3,0.000000,1.000000,0.500000,W,66811.000000,0.913718,1.010002,0.961860,0.024071,0.959887,0.000092,0.020306,0.000092,959.886859,0.092010,20.305966,0.091795,0,1141.716623,11,103.792420,1
23846,A,8583.100000,3,b3,0.000000,1.000000,0.500000,Em,66811.000000,0.005657,0.034013,0.019835,0.007089,0.019258,0.000035,0.006569,0.000034,19.258105,0.034520,6.569416,0.033602,0,1440.441607,11,130.949237,1
