toy,success,message,nit,nfev,chi2,max_abs_pull,exact_inversion_flag,physical_branch_flag,dpe_C,dpe_E,dpe_D,dtheta_e_C,dtheta_e_E,dtheta_e_D,dtheta_p_common,dpp_common
63,True,Optimization terminated successfully.,2607,3940,43.402994,3.194009,0,1,0.347185,0.450461,0.379190,-0.226279,-0.403405,-0.571716,-1.823248,2.412509
64,True,Optimization terminated successfully.,2549,3830,68.531845,4.654457,0,1,0.882879,1.078249,1.015727,-0.449267,-0.619743,-0.893110,-1.482445,1.542478
65,True,Optimization terminated successfully.,2673,4009,32.909584,2.494630,0,1,1.207188,1.303995,1.324536,-0.688332,-0.721631,-0.968731,-1.319645,1.151150
66,True,Optimization terminated successfully.,2622,3892,49.432216,3.317024,0,1,1.714993,1.862619,1.871453,-0.861161,-0.991608,-1.204382,-1.048474,0.457739
67,True,Optimization terminated successfully.,2864,4298,29.639057,2.975548,0,1,-0.383597,-0.218510,-0.307087,0.126869,-0.131970,-0.302288,-2.255659,3.419667
68,True,Optimization terminated successfully.,2964,4390,23.297281,2.152650,0,1,0.986222,1.147166,1.171808,-0.518747,-0.674027,-0.932339,-1.468670,1.479477
69,True,Optimization terminated successfully.,2889,4303,39.642881,2.894769,0,1,1.232465,1.309748,1.378528,-0.594478,-0.727434,-0.972104,-1.266634,1.107237
70,True,Optimization terminated successfully.,3134,4690,28.633097,2.683122,0,1,1.514325,1.659269,1.607815,-0.758653,-0.904058,-1.118200,-1.203402,0.745948
71,True,Optimization terminated successfully.,2574,3858,26.914138,2.648766,0,1,1.422260,1.483178,1.491342,-0.776906,-0.924800,-1.114925,-1.326970,0.905270
72,True,Optimization terminated successfully.,3047,4583,45.549360,2.936692,0,1,2.176615,2.305266,2.235608,-1.017088,-1.079652,-1.351160,-0.754030,-0.217516
73,True,Optimization terminated successfully.,2732,4080,55.081327,4.145966,0,1,1.182190,1.358329,1.300095,-0.645103,-0.772308,-0.966957,-1.329831,1.151357
74,True,Optimization terminated successfully.,2598,3869,43.429826,3.257284,0,1,3.118663,3.258847,3.208691,-1.427893,-1.565275,-1.769600,-0.229346,-1.493522
75,True,Optimization terminated successfully.,2787,4164,26.471266,2.865829,0,1,1.549310,1.669239,1.679550,-0.739499,-0.895885,-1.177271,-1.118151,0.698930
76,True,Optimization terminated successfully.,3038,4517,24.895579,2.371568,0,1,1.495931,1.629957,1.626236,-0.744381,-0.867177,-1.128361,-1.242501,0.688913
77,True,Optimization terminated successfully.,3009,4510,32.140354,3.146368,0,1,8.240109,8.300317,8.298507,-3.675417,-3.746559,-4.060902,2.576598,-8.700924
78,True,Optimization terminated successfully.,2797,4155,29.335332,3.165790,0,1,1.314572,1.388094,1.338431,-0.649677,-0.762787,-0.991922,-1.288589,1.050635
79,True,Optimization terminated successfully.,3036,4516,35.475785,3.009611,0,1,-1.659741,-1.503684,-1.582926,0.707730,0.462033,0.300462,-2.859752,5.208179
80,True,Optimization terminated successfully.,3101,4678,25.735956,2.391791,0,1,-7.470789,-7.248229,-7.339905,3.215750,3.043864,2.733518,-6.070116,13.410084
81,True,Optimization terminated successfully.,3195,4742,32.753107,2.824486,0,1,-0.183905,-0.082921,-0.085772,0.012343,-0.121099,-0.331299,-2.015250,3.175606
82,True,Optimization terminated successfully.,2974,4455,42.578200,2.852003,0,1,1.995177,2.125847,2.074279,-1.014706,-1.111963,-1.355318,-0.932305,0.060640
83,True,Optimization terminated successfully.,2856,4266,53.199770,3.626631,0,1,5.438289,5.591718,5.523036,-2.527436,-2.648764,-2.852895,0.960056,-4.838558
84,True,Optimization terminated successfully.,2482,3703,26.163818,2.668804,0,1,1.680534,1.688509,1.699094,-0.816548,-0.927461,-1.141098,-1.090076,0.571898
85,True,Optimization terminated successfully.,2887,4301,50.660196,2.965060,0,1,0.278156,0.475565,0.339731,-0.249215,-0.327293,-0.562082,-1.801455,2.495319
86,True,Optimization terminated successfully.,2824,4225,57.311285,4.572200,0,1,0.189594,0.352949,0.330640,-0.147720,-0.291442,-0.503912,-1.786864,2.670670
87,True,Optimization terminated successfully.,2454,3692,43.504937,3.650578,0,1,-0.235684,-0.116019,-0.117812,0.009183,-0.085850,-0.355463,-2.117379,3.216610
88,True,Optimization terminated successfully.,2743,4109,43.208739,3.690034,0,1,1.418668,1.545235,1.482254,-0.703700,-0.852201,-1.113929,-1.243302,0.839097
89,True,Optimization terminated successfully.,2875,4268,25.723104,2.647748,0,1,1.323132,1.397812,1.390400,-0.663903,-0.783667,-1.003351,-1.301099,1.041279
90,True,Optimization terminated successfully.,2627,3936,21.566210,2.150663,0,1,1.565267,1.637505,1.626989,-0.807226,-0.869089,-1.155033,-1.107132,0.697492
91,True,Optimization terminated successfully.,3110,4636,40.409929,2.863364,0,1,2.246806,2.451516,2.381612,-1.046137,-1.244714,-1.412573,-0.676881,-0.366226
92,True,Optimization terminated successfully.,2728,4082,26.810842,2.736629,0,1,1.531120,1.589820,1.606548,-0.717206,-0.861043,-1.111438,-1.168859,0.790247
93,True,Optimization terminated successfully.,2862,4306,34.652655,2.572323,0,1,0.552023,0.620811,0.550782,-0.293934,-0.469068,-0.677948,-1.728977,2.168974
94,True,Optimization terminated successfully.,3190,4740,32.309208,3.067999,0,1,2.070354,2.194568,2.132731,-1.046386,-1.163265,-1.485200,-0.862124,-0.050968
95,True,Optimization terminated successfully.,2572,3864,37.597972,3.869275,0,1,0.511651,0.570555,0.544171,-0.359596,-0.433053,-0.634724,-1.746226,2.238093
96,True,Optimization terminated successfully.,3126,4691,32.465761,2.407416,0,1,-0.603829,-0.462858,-0.469124,0.146710,0.031280,-0.249767,-2.292581,3.763445
97,True,Optimization terminated successfully.,2533,3784,29.173821,2.661925,0,1,2.495437,2.667643,2.626699,-1.215935,-1.365713,-1.520718,-0.643656,-0.703289
98,True,Optimization terminated successfully.,3019,4469,29.533905,2.332174,0,1,0.794315,0.896742,0.822738,-0.403364,-0.557806,-0.792789,-1.520149,1.821023
99,True,Optimization terminated successfully.,2824,4226,20.579587,2.044185,0,1,1.253236,1.360790,1.279496,-0.641425,-0.812141,-0.946209,-1.324759,1.173270
