setting,run,dp_idx,dp_label,dp_lo,dp_hi,bin_center,var,used_in_fit,used_in_summary,fit_valid,y_obs_MeV,y_err_MeV,coeff_dthe,coeff_dpe,coeff_dthp,coeff_dpp,fixed_dthe_mrad,fixed_dthp_mrad,fixed_dpp_tenthpct,fixed_term_MeV,dpe_fit_tenthpct,dpe_fit_err_tenthpct,y_pred_MeV,resid_MeV
A,23847,2,b2,-1,0,-0.5,Pmy,1,1,1,8.39743,0.061663,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.743172,0.00178407,10.8408,-2.44333
A,23848,2,b2,-1,0,-0.5,W,1,1,1,9.33685,0.1706,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.743172,0.00178407,10.6301,-1.29329
A,23848,2,b2,-1,0,-0.5,Em,1,1,1,11.596,0.04846,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.743172,0.00178407,12.1768,-0.580791
A,23848,2,b2,-1,0,-0.5,Pmz,1,1,1,-9.64538,0.083073,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.743172,0.00178407,-8.81301,-0.832372
A,23848,2,b2,-1,0,-0.5,Pmy,1,1,1,8.39181,0.066412,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.743172,0.00178407,10.8408,-2.44896
A,23839,3,b3,0,1,0.5,W,1,1,1,13.3835,0.190347,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.959946,0.00195766,12.4987,0.884764
A,23839,3,b3,0,1,0.5,Em,1,1,1,11.7152,0.068456,0,-7.06,0,-2.1,-0.3,-7.2,-3.3,6.93,-0.959946,0.00195766,13.7072,-1.99202
A,23839,3,b3,0,1,0.5,Pmz,1,1,1,-8.40283,0.098946,-5.75,4.1,0,2.27,-0.3,-7.2,-3.3,-5.766,-0.959946,0.00195766,-9.70178,1.29895
A,23839,3,b3,0,1,0.5,Pmy,1,1,1,9.90327,0.088704,4.1,5.75,-2.27,0,-0.3,-7.2,-3.3,15.114,-0.959946,0.00195766,9.59431,0.308957
A,23840,3,b3,0,1,0.5,W,1,1,1,14.8492,0.140135,-14.08,-8.62,0,0,-0.3,-7.2,-3.3,4.224,-0.959946,0.00195766,12.4987,2.35044
