setting,dp_idx,dp_label,run,var,y_obs,y_err,y_pred,resid,pull
A,4,b4,23841,Pmy,12.5779,0.146471,12.6673,-0.0894554,-0.610738
A,4,b4,23842,W,21.0157,0.212569,21.0416,-0.0259004,-0.121845
A,4,b4,23842,Em,18.2151,0.076541,18.0441,0.170983,2.23388
A,4,b4,23842,Pmz,-10.9523,0.107846,-10.7889,-0.163456,-1.51564
A,4,b4,23842,Pmy,12.7004,0.127567,12.6673,0.0330316,0.258935
A,4,b4,23844,W,21.1557,0.194936,21.0416,0.114048,0.585051
A,4,b4,23844,Em,18.1565,0.067398,18.0441,0.112421,1.66802
A,4,b4,23844,Pmz,-10.8972,0.096954,-10.7889,-0.108351,-1.11755
A,4,b4,23844,Pmy,12.7171,0.114277,12.6673,0.0497096,0.434992
A,4,b4,23845,W,21.1419,0.196844,21.0416,0.100265,0.509361
A,4,b4,23845,Em,18.1384,0.068835,18.0441,0.0942925,1.36983
A,4,b4,23845,Pmz,-10.811,0.097892,-10.7889,-0.0220909,-0.225666
A,4,b4,23845,Pmy,12.6134,0.116301,12.6673,-0.0539814,-0.464152
A,4,b4,23846,W,21.2883,0.191457,21.0416,0.246673,1.2884
A,4,b4,23846,Em,18.3047,0.065409,18.0441,0.260567,3.98366
A,4,b4,23846,Pmz,-10.9949,0.095097,-10.7889,-0.206038,-2.16661
A,4,b4,23846,Pmy,12.7123,0.112338,12.6673,0.0449576,0.400199
A,4,b4,23847,W,21.4379,0.196575,21.0416,0.396243,2.01573
A,4,b4,23847,Em,18.3837,0.068221,18.0441,0.339615,4.97817
A,4,b4,23847,Pmz,-11.0499,0.098395,-10.7889,-0.261019,-2.65277
A,4,b4,23847,Pmy,12.5686,0.115734,12.6673,-0.0987054,-0.852864
A,4,b4,23848,W,21.4226,0.203421,21.0416,0.381011,1.87301
A,4,b4,23848,Em,18.3485,0.071373,18.0441,0.304381,4.26466
A,4,b4,23848,Pmz,-11.0136,0.102314,-10.7889,-0.224749,-2.19666
A,4,b4,23848,Pmy,12.7109,0.120337,12.6673,0.0435556,0.361947
B,0,full,23849,W,20.0358,0.293569,19.9121,0.123697,0.421354
B,0,full,23849,Em,4.01586,0.112875,3.93473,0.0811306,0.718765
B,0,full,23849,Pmz,-0.576147,0.134699,-0.755711,0.179564,1.33307
B,0,full,23849,Pmy,11.7575,0.104589,11.7745,-0.0170531,-0.163048
B,0,full,23850,W,19.9045,0.274972,19.9121,-0.00761049,-0.0276773
B,0,full,23850,Em,3.91434,0.107584,3.93473,-0.0203884,-0.189512
B,0,full,23850,Pmz,-0.770139,0.121492,-0.755711,-0.0144283,-0.11876
B,0,full,23850,Pmy,11.7954,0.098088,11.7745,0.0208739,0.212808
B,0,full,23851,W,19.8225,0.25906,19.9121,-0.0895695,-0.345748
B,0,full,23851,Em,3.88522,0.103678,3.93473,-0.0495134,-0.477569
B,0,full,23851,Pmz,-0.879216,0.117674,-0.755711,-0.123505,-1.04955
B,0,full,23851,Pmy,11.7693,0.092495,11.7745,-0.00522407,-0.0564795
B,1,b1,23849,W,11.0083,0.924575,11.1611,-0.152818,-0.165284
B,1,b1,23849,Em,-1.95817,0.235212,-1.82774,-0.130427,-0.554509
B,1,b1,23849,Pmz,4.80292,0.297804,4.38013,0.422789,1.41969
B,1,b1,23849,Pmy,9.62936,0.267654,9.89227,-0.262917,-0.982302
B,1,b1,23850,W,11.687,0.766523,11.1611,0.525947,0.686147
B,1,b1,23850,Em,-1.77084,0.206579,-1.82774,0.0569049,0.275463
B,1,b1,23850,Pmz,4.39717,0.288469,4.38013,0.0170439,0.0590839
B,1,b1,23850,Pmy,10.1919,0.246136,9.89227,0.299675,1.21752
B,1,b1,23851,W,10.7653,0.743297,11.1611,-0.39579,-0.532479
B,1,b1,23851,Em,-1.79383,0.181986,-1.82774,0.0339149,0.18636
B,1,b1,23851,Pmz,3.89349,0.31285,4.38013,-0.486636,-1.55549
B,1,b1,23851,Pmy,9.82529,0.22908,9.89227,-0.0669869,-0.292417
B,2,b2,23849,W,13.5344,0.813921,12.1214,1.41299,1.73603
