dataset,method,init,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull
radwan_rangescan_k1p5,tminuit_migrad,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.885093,0.332945,9.585737,0.296276,8.904758,-0.019665,-0.059065
radwan_rangescan_k1p5,tminuit_migrad,zero_init,D,-6.384000,6.000000,4.500000,7.500000,W,10.475310,1.424833,27.010919,1.577131,9.862172,0.613138,0.430323
radwan_rangescan_k1p5,tminuit_migrad,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.751251,0.413726,7.725741,0.516605,-15.427152,0.675901,1.633693
radwan_rangescan_k1p5,tminuit_migrad,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.207093,0.356858,8.775110,0.367319,15.906506,0.300587,0.842316
radwan_rangescan_k1p5,tminuit_migrad,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.671464,0.390341,9.688819,0.401820,8.074728,0.596736,1.528756
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.871331,1.263402,27.792263,1.382291,1.961630,0.909701,0.720041
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.757206,0.321204,6.501951,0.340162,-13.892161,-0.865045,-2.693134
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.424871,0.394100,9.112102,0.324370,14.476715,-1.051844,-2.668977
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.452749,0.347197,9.790159,0.327893,8.908950,-0.456201,-1.313956
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.808074,1.257330,29.035456,1.507708,3.878822,1.929252,1.534404
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.548017,0.314979,6.774474,0.400442,-14.860584,-0.687433,-2.182471
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,15.054545,0.339775,8.933222,0.312419,15.827841,-0.773296,-2.275907
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.885093,0.332945,9.585737,0.296276,8.923215,-0.038122,-0.114499
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,W,10.475310,1.424833,27.010919,1.577131,8.092701,2.382609,1.672202
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.751251,0.413726,7.725741,0.516605,-14.687003,-0.064248,-0.155292
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.207093,0.356858,8.775110,0.367319,16.460900,-0.253807,-0.711226
radwan_rangescan_k1p5,tminuit_simplex,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.671464,0.390341,9.688819,0.401820,8.041721,0.629743,1.613315
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.871331,1.263402,27.792263,1.382291,3.520269,-0.648938,-0.513643
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.757206,0.321204,6.501951,0.340162,-14.432725,-0.324481,-1.010201
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.424871,0.394100,9.112102,0.324370,13.679255,-0.254384,-0.645480
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.452749,0.347197,9.790159,0.327893,8.903477,-0.450728,-1.298191
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.808074,1.257330,29.035456,1.507708,5.642810,0.165264,0.131440
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.548017,0.314979,6.774474,0.400442,-15.468282,-0.079735,-0.253144
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,15.054545,0.339775,8.933222,0.312419,15.137956,-0.083411,-0.245490
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.885093,0.332945,9.585737,0.296276,8.904758,-0.019665,-0.059065
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,W,10.475310,1.424833,27.010919,1.577131,9.862172,0.613138,0.430323
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.751251,0.413726,7.725741,0.516605,-15.427152,0.675901,1.633693
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.207093,0.356858,8.775110,0.367319,15.906506,0.300587,0.842316
radwan_rangescan_k1p5,tminuit_migrad,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.671464,0.390341,9.688819,0.401820,8.074728,0.596736,1.528756
radwan_rangescan_k2p0,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.557277,1.094107,28.873636,1.036490,3.285452,-0.728175,-0.665543
radwan_rangescan_k2p0,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.294357,0.271950,6.796372,0.276912,-14.022698,-0.271659,-0.998929
radwan_rangescan_k2p0,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.361736,0.401260,9.281076,0.332821,13.638508,-0.276772,-0.689758
radwan_rangescan_k2p0,tminuit_simplex,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.496041,0.332986,10.234650,0.292744,9.035546,-0.539505,-1.620204
radwan_rangescan_k2p0,tminuit_simplex,zero_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.161966,1.031033,28.824679,0.955779,5.357910,-0.195944,-0.190047
