# OutlierByCurrent output
# source = results/pass4/**/tables/yield_vs_current_signal.csv ; results/pass5/**/tables/yield_vs_current_signal.csv
# flag_type=outlier_by_pull => status==OK && fit_included==1 && yield_err>0 && abs((yield-fit_const)/yield_err)>3
# flag_type=excluded_from_fit => fit_included!=1 or status!=OK or invalid yield/yield_err
# threshold = abs_pull > 3
# sort = flag_type, then abs_pull descending within outlier_by_pull, then reason/setting/run
setting,run,flag_type,reason,BCM2_I,yield,yield_err,fit_const,abs_pull
"pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2",25282,"outlier_by_pull","abs_pull>3",10.064000,94.510400,1.004360,91.114200,3.381457
"pass5/pi+sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2",25289,"outlier_by_pull","abs_pull>3",21.561000,54.321400,0.514178,52.596700,3.354286
"pass5/pi+sidis/LH2/z0p36/x0p25/Q23p3/hmsPneg3p642_shmsP2p615_hmsTh16p75_shmsTh10p305_thpq2",25334,"outlier_by_pull","abs_pull>3",10.016000,50.911600,0.758314,48.395700,3.317755
"pass5/pi-sidis/LH2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p755_shmsTh10p31_thpq2",25497,"outlier_by_pull","abs_pull>3",24.791000,26.658100,0.337624,25.547200,3.290347
"pass5/pi+sidis/LH2/z0p9/x0p25/Q23p3/hmsPneg3p642_shmsP6p538_hmsTh16p75_shmsTh7p51_thpqneg0p8",24886,"outlier_by_pull","abs_pull>3",49.900000,43.143200,0.319553,44.190300,3.276765
"pass4/pi-sidis/LH2/z0p36/x0p25/Q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2",23894,"outlier_by_pull","abs_pull>3",19.932000,2.811860,0.161743,3.341370,3.273774
"pass4/pi-sidis/LD2/z0p36/x0p25/Q23p3/hmsPneg1p531_shmsPneg2p615_hmsTh29p045_shmsTh7p865_thpq2",23887,"outlier_by_pull","abs_pull>3",6.811000,7.636740,0.410149,6.307430,3.241042
"pass4/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg1p531_shmsP3p632_hmsTh29p045_shmsTh7p865_thpq2",24423,"outlier_by_pull","abs_pull>3",6.955000,12.925200,0.447757,11.476700,3.235014
"pass4/pi+sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsP4p868_hmsTh29p045_shmsTh7p865_thpq2",24262,"outlier_by_pull","abs_pull>3",43.866000,6.101990,0.133520,6.533320,3.230452
"pass5/pi-sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsPneg4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",25068,"outlier_by_pull","abs_pull>3",9.055000,50.596600,0.731323,48.263900,3.189699
"pass4/pi-sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2",23991,"outlier_by_pull","abs_pull>3",9.788000,3.015320,0.172922,2.465590,3.179063
"pass5/pi-sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsPneg3p632_hmsTh16p755_shmsTh10p31_thpq2",25485,"outlier_by_pull","abs_pull>3",30.159000,51.492800,0.508560,53.107300,3.174650
"pass5/pi+sidis/LD2/z0p5/x0p25/Q23p3/hmsPneg3p642_shmsP3p632_hmsTh16p75_shmsTh10p305_thpq2",25312,"outlier_by_pull","abs_pull>3",10.024000,94.197300,0.976502,91.114200,3.157290
"pass5/pi-sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsPneg4p868_hmsTh16p75_shmsTh7p51_thpqneg0p8",25046,"outlier_by_pull","abs_pull>3",9.026000,50.626900,0.750595,48.263900,3.148169
"pass4/pi-sidis/LH2/z0p67/x0p25/Q23p3/hmsPneg1p531_shmsPneg4p868_hmsTh29p045_shmsTh7p865_thpq2",23990,"outlier_by_pull","abs_pull>3",19.449000,2.831320,0.119723,2.465590,3.054802
"pass5/pi+sidis/LD2/z0p67/x0p25/Q23p3/hmsPneg3p642_shmsP4p868_hmsTh16p75_shmsTh10p305_thpq2",25256,"outlier_by_pull","abs_pull>3",47.770000,91.015700,0.613035,92.874300,3.031801
