toy,success,message,nit,nfev,chi2,bad_branch_flag_abs_param_gt_5,physical_branch_flag,dthe_b1_A,dthe_b1_B,dpe_b1_A,dpe_b1_B,dthp,dpp_b1_A,dpp_b1_B
1010,True,Optimization terminated successfully.,1769,2764,459.8261,0,1,-0.0534,-0.4089,-0.4369,-0.0667,1.1749,-1.5978,1.0300
1011,True,Optimization terminated successfully.,1912,2934,423.2881,0,1,-0.0800,-0.4842,-0.3776,0.1553,1.3035,-1.7763,0.7664
1012,True,Optimization terminated successfully.,1648,2595,410.6652,0,1,-0.0983,-0.5940,-0.3699,0.2532,1.3049,-1.8134,0.5347
1013,True,Optimization terminated successfully.,1768,2737,465.4690,0,1,-0.0577,-0.5101,-0.4266,0.0480,1.2056,-1.6362,0.8020
1014,True,Optimization terminated successfully.,1978,3065,392.6549,1,0,-1.2559,-2.5108,1.5221,4.1600,3.9905,-8.1791,-5.5117
1015,True,Optimization terminated successfully.,1791,2792,431.3684,1,0,0.8979,1.1900,-1.9847,-3.3567,-0.9945,3.6125,6.1634
1016,True,Optimization terminated successfully.,1564,2421,409.0245,0,1,-0.1269,-0.5821,-0.3262,0.2754,1.3512,-1.9640,0.5264
1017,True,Optimization terminated successfully.,2014,3126,483.6770,0,1,0.0087,-0.3661,-0.5281,-0.1622,1.1046,-1.2907,1.1858
1018,True,Optimization terminated successfully.,1840,2821,476.8831,0,1,-0.2521,-0.8001,-0.1194,0.6408,1.6634,-2.6537,-0.0537
1019,True,Optimization terminated successfully.,1749,2702,401.9491,0,1,-0.0642,-0.5074,-0.4059,0.0795,1.2869,-1.6856,0.8220
1020,True,Optimization terminated successfully.,1727,2684,414.2957,0,1,-0.1162,-0.5499,-0.3327,0.2491,1.3536,-1.9306,0.5438
1021,True,Optimization terminated successfully.,1622,2506,393.8846,0,1,0.0440,-0.3275,-0.5890,-0.3087,0.9654,-1.0733,1.3827
1022,True,Optimization terminated successfully.,1973,3037,427.4614,0,1,-0.0118,-0.3891,-0.5124,-0.1190,1.1130,-1.3461,1.1065
1023,True,Optimization terminated successfully.,1572,2460,465.4060,0,1,-0.4026,-1.0842,0.1198,1.2469,2.0144,-3.4815,-1.0110
1024,True,Optimization terminated successfully.,1769,2766,473.6528,0,1,0.1201,-0.1562,-0.7252,-0.6063,0.7942,-0.6242,1.8637
1025,True,Optimization terminated successfully.,1925,2949,487.8469,0,1,-0.2793,-0.8691,-0.0611,0.7903,1.7651,-2.8482,-0.3339
1026,True,Optimization terminated successfully.,1637,2515,457.1923,0,1,-0.1761,-0.6820,-0.2358,0.4151,1.4897,-2.2595,0.3164
1027,True,Optimization terminated successfully.,1821,2815,440.3146,0,1,-0.0438,-0.3790,-0.4588,-0.1108,1.1341,-1.5230,1.0801
1028,True,Optimization terminated successfully.,1737,2678,365.2434,0,1,-0.3020,-0.9166,-0.0171,0.9129,1.8053,-2.9975,-0.5131
1029,True,Optimization terminated successfully.,1980,3046,420.3661,0,1,-0.0363,-0.3685,-0.4687,-0.1712,1.1604,-1.4818,1.1660
1030,True,Optimization terminated successfully.,1904,2939,416.8800,0,1,-0.0854,-0.5204,-0.3809,0.1395,1.2584,-1.7780,0.7378
1031,True,Optimization terminated successfully.,1788,2805,457.3402,0,1,-0.1937,-0.7548,-0.2138,0.5491,1.4989,-2.3467,0.0666
1032,True,Optimization terminated successfully.,1990,3073,401.6624,0,1,-0.1437,-0.6977,-0.2997,0.4773,1.4041,-2.0698,0.2118
1033,True,Optimization terminated successfully.,1610,2499,476.1219,0,1,-0.0395,-0.4721,-0.4525,0.0496,1.1972,-1.5487,0.8890
1034,True,Optimization terminated successfully.,2065,3201,418.8565,0,1,-0.3690,-0.9308,0.0792,0.9986,1.9182,-3.3314,-0.5793
1035,True,Optimization terminated successfully.,1836,2868,497.5637,0,1,-0.0959,-0.4883,-0.3658,0.0930,1.3188,-1.8118,0.7941
1036,True,Optimization terminated successfully.,1787,2778,441.8274,0,1,-0.0420,-0.4337,-0.4617,-0.0982,1.1689,-1.5034,1.0700
1037,True,Optimization terminated successfully.,1934,2998,369.7076,0,1,-0.0129,-0.3521,-0.5016,-0.1990,1.1201,-1.3834,1.2528
1038,True,Optimization terminated successfully.,2092,3201,494.9016,1,0,-0.9823,-2.1652,1.0826,3.4195,3.3640,-6.7133,-4.3715
1039,True,Optimization terminated successfully.,1853,2879,428.6632,0,1,-0.0328,-0.5051,-0.4708,0.0470,1.1550,-1.4607,0.8710
1040,True,Optimization terminated successfully.,1740,2685,488.6751,0,1,0.1783,-0.0961,-0.7982,-0.7488,0.6846,-0.3667,2.1048
1041,True,Optimization terminated successfully.,1575,2478,436.2940,1,0,0.8850,1.2650,-1.9647,-3.3854,-0.9820,3.5467,6.2372
1042,True,Optimization terminated successfully.,1683,2604,435.6965,0,1,-0.1054,-0.5068,-0.3573,0.1500,1.3170,-1.8565,0.7170
1043,True,Optimization terminated successfully.,1629,2529,405.5300,0,1,0.1436,-0.0157,-0.7550,-0.8217,0.7288,-0.5308,2.2462
1044,True,Optimization terminated successfully.,1808,2803,535.9445,0,1,0.0616,-0.2043,-0.6333,-0.5095,0.9370,-0.9289,1.7421
1045,True,Optimization terminated successfully.,1603,2512,397.0524,0,1,-0.1051,-0.5407,-0.3758,0.1707,1.2813,-1.8140,0.7156
1046,True,Optimization terminated successfully.,2167,3357,379.4671,0,1,-0.2057,-0.7361,-0.1786,0.5431,1.5941,-2.4413,0.1285
1047,True,Optimization terminated successfully.,1696,2645,531.6757,0,1,-0.0482,-0.4489,-0.4461,-0.0022,1.1893,-1.5746,0.9546
1048,True,Optimization terminated successfully.,1849,2883,436.9970,0,1,-0.2472,-0.7444,-0.1251,0.6107,1.6321,-2.6443,0.0002
1049,True,Optimization terminated successfully.,1954,3027,537.4022,0,1,-0.0105,-0.4233,-0.5021,-0.0942,1.1038,-1.3718,1.1016
1050,True,Optimization terminated successfully.,2040,3154,472.8107,0,1,0.1816,-0.0117,-0.8212,-0.8781,0.6614,-0.2804,2.3336
1051,True,Optimization terminated successfully.,1997,3077,423.4685,0,1,-0.1441,-0.4989,-0.2807,0.1207,1.4311,-2.1203,0.7992
1052,True,Optimization terminated successfully.,2008,3104,380.4912,0,1,-0.0371,-0.4759,-0.4611,0.0279,1.1603,-1.5114,0.8723
1053,True,Optimization terminated successfully.,1974,3048,412.6026,0,1,-0.0856,-0.5083,-0.3837,0.1206,1.2816,-1.7804,0.7780
1054,True,Optimization terminated successfully.,1819,2827,486.4236,0,1,0.1057,-0.2329,-0.6973,-0.4084,0.8521,-0.7171,1.5964
1055,True,Optimization terminated successfully.,1870,2899,500.2890,0,1,-0.1392,-0.5411,-0.2934,0.2293,1.3924,-2.0565,0.5915
1056,True,Optimization terminated successfully.,1639,2571,368.9574,0,1,-0.0946,-0.5255,-0.3691,0.1138,1.3164,-1.8139,0.7581
1057,True,Optimization terminated successfully.,1924,2955,417.6188,0,1,-0.0306,-0.4223,-0.4740,-0.0527,1.1561,-1.4621,1.0129
1058,True,Optimization terminated successfully.,1857,2885,391.3474,0,1,-0.1490,-0.5055,-0.2873,0.2020,1.3798,-2.0890,0.6557
1059,True,Optimization terminated successfully.,1864,2898,472.0903,0,1,-0.0616,-0.4480,-0.4229,-0.0445,1.1972,-1.6449,1.0280
1060,True,Optimization terminated successfully.,1501,2342,419.2552,0,1,-0.1087,-0.5386,-0.3587,0.1499,1.2930,-1.8610,0.6914
1061,True,Optimization terminated successfully.,1763,2724,401.2177,0,1,-0.0410,-0.4508,-0.4621,-0.0505,1.1570,-1.5167,1.0114
1062,True,Optimization terminated successfully.,1589,2457,375.4187,0,1,0.0474,-0.1681,-0.6070,-0.4720,0.9562,-1.0225,1.6919
1063,True,Optimization terminated successfully.,2051,3157,368.9651,0,1,-0.0470,-0.4610,-0.4527,-0.0012,1.1746,-1.5236,0.9114
1064,True,Optimization terminated successfully.,1876,2914,391.1344,1,0,1.2184,1.7073,-2.5247,-4.4205,-1.7842,5.4203,7.8289
1065,True,Optimization terminated successfully.,2046,3152,459.7505,0,1,-0.4667,-1.1568,0.2340,1.4402,2.1597,-3.8588,-1.2847
1066,True,Optimization terminated successfully.,1705,2637,393.3132,0,1,-0.0803,-0.5548,-0.3911,0.1554,1.2523,-1.7396,0.6795
1067,True,Optimization terminated successfully.,1770,2750,452.6667,0,1,0.0891,-0.2327,-0.6652,-0.4695,0.8869,-0.8181,1.6620
1068,True,Optimization terminated successfully.,1628,2521,453.3002,0,1,-0.0695,-0.4805,-0.3986,0.0430,1.2753,-1.7131,0.8879
1069,True,Optimization terminated successfully.,1839,2842,430.2161,0,1,-0.2537,-0.7853,-0.1283,0.6652,1.6020,-2.6307,-0.0769
1070,True,Optimization terminated successfully.,1859,2870,504.3942,0,1,-0.0774,-0.4773,-0.4028,-0.0061,1.2221,-1.7125,0.9473
1071,True,Optimization terminated successfully.,2113,3255,539.0875,0,1,0.1564,0.0273,-0.7798,-0.8926,0.6949,-0.4256,2.3550
1072,True,Optimization terminated successfully.,1921,2965,477.1118,0,1,-0.0370,-0.4119,-0.4524,-0.0532,1.2005,-1.5329,1.0388
1073,True,Optimization terminated successfully.,1998,3096,458.9054,0,1,-0.1189,-0.6002,-0.3266,0.2990,1.3969,-1.9622,0.5178
1074,True,Optimization terminated successfully.,1666,2577,448.0030,0,1,-0.0534,-0.5317,-0.4352,0.1638,1.2123,-1.6132,0.6482
1075,True,Optimization terminated successfully.,1784,2783,449.0371,0,1,-0.3413,-0.8896,0.0346,0.9234,1.8921,-3.1797,-0.4781
1076,True,Optimization terminated successfully.,1685,2614,512.1686,0,1,-0.0450,-0.4347,-0.4593,-0.0740,1.1526,-1.5222,1.0347
1077,True,Optimization terminated successfully.,1926,2993,436.5998,0,1,-0.3619,-0.9586,0.0686,1.0621,1.9328,-3.2967,-0.6992
1078,True,Optimization terminated successfully.,1789,2777,406.6433,0,1,-0.1493,-0.5853,-0.2759,0.2790,1.4355,-2.1271,0.4630
1079,True,Optimization terminated successfully.,2017,3078,447.8779,0,1,-0.1479,-0.5913,-0.2823,0.3148,1.4250,-2.1021,0.4565
1080,True,Optimization terminated successfully.,2048,3149,469.1093,0,1,-0.0439,-0.5097,-0.4528,0.0520,1.1818,-1.5453,0.8988
1081,True,Optimization terminated successfully.,1680,2578,464.7264,0,1,-0.1594,-0.6509,-0.2585,0.3883,1.4711,-2.1764,0.3901
1082,True,Optimization terminated successfully.,1820,2828,440.6459,0,1,-0.0429,-0.5002,-0.4391,0.0900,1.2298,-1.5671,0.8639
1083,True,Optimization terminated successfully.,1919,2974,439.1455,0,1,0.5077,0.5996,-1.3536,-2.0588,-0.1231,1.4882,4.1719
1084,True,Optimization terminated successfully.,1630,2528,493.2545,0,1,-0.1301,-0.5394,-0.3291,0.1948,1.3676,-1.9682,0.6594
1085,True,Optimization terminated successfully.,1808,2796,455.6005,0,1,0.0258,-0.3357,-0.5543,-0.2459,1.0230,-1.1958,1.3287
1086,True,Optimization terminated successfully.,2075,3212,377.3549,0,1,-0.2050,-0.7415,-0.1863,0.5860,1.5807,-2.4358,0.0508
1087,True,Optimization terminated successfully.,1786,2760,437.9972,0,1,0.1675,-0.0828,-0.7924,-0.7579,0.7134,-0.3950,2.1489
1088,True,Optimization terminated successfully.,1540,2425,447.6956,0,1,-0.1092,-0.5895,-0.3391,0.2646,1.3465,-1.9054,0.5407
1089,True,Optimization terminated successfully.,1892,2953,355.9179,0,1,-0.5209,-1.3433,0.3228,1.7281,2.2843,-4.1526,-1.7625
1090,True,Optimization terminated successfully.,1913,2954,432.2326,0,1,-0.2954,-0.8792,-0.0448,0.8564,1.7519,-2.9098,-0.4018
1091,True,Optimization terminated successfully.,1151,1847,467.3979,0,1,-0.0448,-0.5081,-0.4320,0.1329,1.2879,-1.5973,0.7630
1092,True,Optimization terminated successfully.,2014,3098,421.5427,0,1,0.0624,-0.2976,-0.6074,-0.2956,0.9930,-0.9974,1.4128
1093,True,Optimization terminated successfully.,1949,3023,418.0334,0,1,-0.0763,-0.4942,-0.3979,0.1242,1.2907,-1.7192,0.6917
1094,True,Optimization terminated successfully.,1708,2672,457.8442,0,1,-0.1132,-0.6080,-0.3403,0.2894,1.3664,-1.9068,0.5200
1095,True,Optimization terminated successfully.,2049,3165,454.2879,0,1,-0.1177,-0.5184,-0.3407,0.1747,1.3280,-1.9198,0.6950
1096,True,Optimization terminated successfully.,1711,2661,464.2865,0,1,-0.1129,-0.5085,-0.3374,0.1817,1.3298,-1.9238,0.6901
1097,True,Optimization terminated successfully.,2126,3278,526.0038,0,1,-0.0695,-0.5741,-0.4116,0.1968,1.2616,-1.6796,0.6283
1098,True,Optimization terminated successfully.,1828,2821,468.5135,1,0,1.1329,1.6376,-2.3756,-4.2045,-1.5726,4.9275,7.5327
1099,True,Optimization terminated successfully.,1595,2482,412.2472,0,1,-0.1160,-0.5662,-0.3354,0.1654,1.3724,-1.9414,0.6756
1100,True,Optimization terminated successfully.,1943,3032,379.9730,0,1,-0.0003,-0.4049,-0.5145,-0.0469,1.1360,-1.3293,1.0410
1101,True,Optimization terminated successfully.,1936,2977,483.4540,0,1,-0.0701,-0.4732,-0.4006,0.0483,1.2835,-1.7074,0.8172
1102,True,Optimization terminated successfully.,1952,3046,374.0969,0,1,0.0298,-0.4062,-0.5844,-0.1817,0.9645,-1.0876,1.2144
1103,True,Optimization terminated successfully.,1624,2528,365.0371,0,1,-0.1047,-0.5979,-0.3477,0.2779,1.3081,-1.8958,0.5202
1104,True,Optimization terminated successfully.,1729,2693,480.7920,0,1,-0.0678,-0.5773,-0.4120,0.2020,1.2755,-1.6810,0.6446
1105,True,Optimization terminated successfully.,1551,2412,456.4565,0,1,-0.1461,-0.6178,-0.2881,0.3321,1.4151,-2.0846,0.4537
1106,True,Optimization terminated successfully.,1843,2841,494.0775,0,1,-0.0202,-0.4424,-0.4899,-0.0545,1.1453,-1.3978,1.0634
1107,True,Optimization terminated successfully.,1854,2869,402.7457,0,1,0.2062,0.0931,-0.8633,-0.9814,0.5751,-0.1614,2.5336
1108,True,Optimization terminated successfully.,1706,2677,430.4080,0,1,-0.0001,-0.4002,-0.5239,-0.0855,1.1154,-1.2954,1.0774
1109,True,Optimization terminated successfully.,1674,2599,390.1668,0,1,-0.0073,-0.3360,-0.5158,-0.2620,1.0796,-1.3134,1.3442
1110,True,Optimization terminated successfully.,1792,2774,433.5156,0,1,-0.1285,-0.5545,-0.3044,0.2509,1.3866,-2.0332,0.5638
1111,True,Optimization terminated successfully.,1965,3046,436.7522,0,1,-0.0504,-0.4416,-0.4374,0.0229,1.2414,-1.5690,0.9136
1112,True,Optimization terminated successfully.,1555,2436,462.4483,0,1,-0.1846,-0.5935,-0.2195,0.3316,1.5048,-2.3279,0.3958
1113,True,Optimization terminated successfully.,1764,2746,442.0487,0,1,-0.1834,-0.7572,-0.2158,0.6162,1.5349,-2.3276,0.0021
1114,True,Optimization terminated successfully.,2218,3432,425.4318,0,1,-0.0744,-0.4505,-0.4109,0.0224,1.2528,-1.6906,0.9021
1115,True,Optimization terminated successfully.,1839,2832,354.1625,0,1,-0.0486,-0.4186,-0.4522,-0.0957,1.1641,-1.5430,1.0482
1116,True,Optimization terminated successfully.,2214,3422,381.2095,0,1,-0.0880,-0.5495,-0.3880,0.0963,1.2577,-1.7539,0.7763
1117,True,Optimization terminated successfully.,1760,2712,459.2520,0,1,-0.0541,-0.4897,-0.4456,0.0550,1.1838,-1.5576,0.8601
1118,True,Optimization terminated successfully.,1764,2748,381.9125,0,1,-0.1910,-0.6982,-0.2160,0.5226,1.5317,-2.3381,0.1416
1119,True,Optimization terminated successfully.,1776,2762,456.4844,0,1,-0.1122,-0.6309,-0.3352,0.3532,1.3666,-1.9374,0.3917
1120,True,Optimization terminated successfully.,1660,2576,477.0914,0,1,-0.4902,-1.2798,0.2759,1.5901,2.2464,-3.9901,-1.5422
1121,True,Optimization terminated successfully.,2835,4357,0.9821,1,0,-60.1252,-106.0883,97.5823,212.2503,140.9949,-331.0083,-329.9647
1122,True,Optimization terminated successfully.,1940,3012,498.8471,0,1,0.0212,-0.3747,-0.5520,-0.1426,1.0630,-1.2039,1.1871
1123,True,Optimization terminated successfully.,1859,2868,456.8116,0,1,-0.0651,-0.4618,-0.4257,0.0212,1.1881,-1.6350,0.9094
1124,True,Optimization terminated successfully.,1740,2701,428.5488,0,1,0.1383,-0.0796,-0.7618,-0.6960,0.7322,-0.5065,2.0509
1125,True,Optimization terminated successfully.,1775,2740,450.3717,0,1,-0.0620,-0.4825,-0.4172,0.0929,1.2419,-1.6609,0.8034
1126,True,Optimization terminated successfully.,1597,2487,433.0287,0,1,-0.0124,-0.3408,-0.4932,-0.1836,1.1156,-1.3869,1.2703
1127,True,Optimization terminated successfully.,2002,3075,538.5539,0,1,-0.4343,-1.0666,0.1904,1.2810,2.1059,-3.6967,-1.0282
1128,True,Optimization terminated successfully.,1750,2737,403.9509,0,1,-0.0709,-0.5333,-0.3968,0.1639,1.2705,-1.7159,0.6752
1129,True,Optimization terminated successfully.,1863,2859,465.9986,0,1,-0.1017,-0.5774,-0.3605,0.2317,1.3337,-1.8404,0.5653
1130,True,Optimization terminated successfully.,1692,2627,491.6839,0,1,-0.0324,-0.3739,-0.4822,-0.1651,1.1535,-1.4378,1.1766
1131,True,Optimization terminated successfully.,1775,2745,491.3080,0,1,-0.0988,-0.5084,-0.3655,0.1347,1.3004,-1.8298,0.7301
1132,True,Optimization terminated successfully.,1929,2995,442.1796,0,1,0.1367,-0.1149,-0.7375,-0.6378,0.7934,-0.5689,1.9553
1133,True,Optimization terminated successfully.,1748,2705,428.4244,0,1,-0.0219,-0.3407,-0.4884,-0.2176,1.1307,-1.4187,1.2879
1134,True,Optimization terminated successfully.,1816,2829,396.4005,0,1,0.0501,-0.2579,-0.6075,-0.3723,0.9632,-1.0121,1.5114
1135,True,Optimization terminated successfully.,1860,2892,449.4005,0,1,-0.0923,-0.5379,-0.3668,0.1267,1.3014,-1.8310,0.6951
1136,True,Optimization terminated successfully.,1931,2968,469.3440,0,1,-0.0603,-0.4683,-0.4320,0.0212,1.1930,-1.6003,0.9247
1137,True,Optimization terminated successfully.,2110,3256,505.2198,0,1,-0.0388,-0.4207,-0.4550,-0.0636,1.2027,-1.5242,1.0252
1138,True,Optimization terminated successfully.,1678,2589,425.9336,0,1,-0.5187,-1.2297,0.3261,1.6183,2.2948,-4.1675,-1.5322
1139,True,Optimization terminated successfully.,1617,2506,410.5323,0,1,-0.1198,-0.6187,-0.3261,0.3132,1.3704,-1.9684,0.4638
1140,True,Optimization terminated successfully.,1680,2613,493.9042,0,1,0.1112,-0.1238,-0.7079,-0.6430,0.8391,-0.6949,1.9511
1141,True,Optimization terminated successfully.,1567,2425,448.0253,0,1,-0.1460,-0.5798,-0.3032,0.2697,1.3740,-2.0483,0.5062
1142,True,Optimization terminated successfully.,1696,2602,397.3816,0,1,-0.0415,-0.4282,-0.4529,-0.0133,1.1791,-1.5444,0.9898
1143,True,Optimization terminated successfully.,1724,2671,382.1546,0,1,-0.0385,-0.3947,-0.4684,-0.1275,1.1432,-1.4986,1.1557
1144,True,Optimization terminated successfully.,1799,2780,414.2514,0,1,0.0421,-0.2974,-0.5983,-0.3707,0.9290,-1.0481,1.5007
1145,True,Optimization terminated successfully.,1763,2746,376.5132,0,1,0.0583,-0.3128,-0.6175,-0.3265,0.9579,-0.9873,1.4716
1146,True,Optimization terminated successfully.,2003,3115,506.6176,0,1,-0.6097,-1.2902,0.4651,1.7835,2.4870,-4.6151,-1.8036
1147,True,Optimization terminated successfully.,1716,2652,470.1970,0,1,-0.0437,-0.5037,-0.4438,0.0609,1.2184,-1.5641,0.8395
1148,True,Optimization terminated successfully.,1918,2951,421.4088,0,1,0.3765,0.2178,-1.1345,-1.3944,0.2087,0.7559,3.0857
1149,True,Optimization terminated successfully.,1852,2855,430.5011,0,1,-0.1090,-0.5641,-0.3496,0.1649,1.3408,-1.8809,0.6961
1150,True,Optimization terminated successfully.,1403,2186,502.9853,0,1,-0.0264,-0.3981,-0.4720,-0.1221,1.1660,-1.4643,1.0881
1151,True,Optimization terminated successfully.,1553,2457,474.4317,0,1,0.0278,-0.3925,-0.5617,-0.1331,1.0436,-1.1544,1.1708
1152,True,Optimization terminated successfully.,1851,2880,405.5917,0,1,-0.0071,-0.3215,-0.5212,-0.2590,1.0781,-1.3157,1.3597
1153,True,Optimization terminated successfully.,1792,2782,437.5878,0,1,-0.2392,-0.7109,-0.1262,0.5751,1.6539,-2.6295,0.0885
1154,True,Optimization terminated successfully.,1938,2985,457.6115,0,1,-0.1339,-0.5201,-0.3109,0.1537,1.3643,-2.0309,0.7185
1155,True,Optimization terminated successfully.,1748,2718,398.7156,0,1,-0.0553,-0.6361,-0.4249,0.2655,1.2595,-1.6253,0.5256
1156,True,Optimization terminated successfully.,1718,2674,416.4314,0,1,-0.0714,-0.4218,-0.4190,-0.0264,1.2305,-1.6616,0.9379
1157,True,Optimization terminated successfully.,1503,2326,410.4315,0,1,-0.1379,-0.6279,-0.2966,0.3147,1.3786,-2.0675,0.4274
1158,True,Optimization terminated successfully.,1926,2957,469.3324,0,1,0.1979,-0.0817,-0.8314,-0.8166,0.6438,-0.2625,2.2092
1159,True,Optimization terminated successfully.,1893,2934,441.4731,0,1,0.0636,-0.2688,-0.6182,-0.3727,0.9502,-0.9806,1.5631
1160,True,Optimization terminated successfully.,1831,2892,444.7424,0,1,-0.0743,-0.6239,-0.3898,0.2926,1.3248,-1.7394,0.4516
1161,True,Optimization terminated successfully.,1934,2966,391.5634,0,1,-0.1586,-0.5892,-0.2669,0.3778,1.4445,-2.1600,0.3916
1162,True,Optimization terminated successfully.,1717,2658,443.0807,0,1,-0.0783,-0.5720,-0.3935,0.2611,1.3028,-1.7487,0.5677
1163,True,Optimization terminated successfully.,1598,2476,474.8507,0,1,-0.0316,-0.4415,-0.4684,-0.0272,1.1838,-1.4835,0.9495
1164,True,Optimization terminated successfully.,1748,2706,410.0018,0,1,-0.0693,-0.5245,-0.4080,0.1808,1.2650,-1.6752,0.6602
1165,True,Optimization terminated successfully.,1564,2473,502.7284,0,1,-0.0127,-0.5172,-0.4975,-0.0076,1.1129,-1.3879,0.9512
1166,True,Optimization terminated successfully.,1833,2839,450.5940,0,1,-0.0330,-0.3938,-0.4676,-0.1000,1.1600,-1.4811,1.0810
1167,True,Optimization terminated successfully.,1532,2386,469.1167,0,1,-0.1345,-0.5622,-0.3038,0.1937,1.3813,-2.0223,0.6223
1168,True,Optimization terminated successfully.,1913,2963,454.5337,0,1,0.0047,-0.2883,-0.5340,-0.3014,1.0645,-1.2618,1.4258
1169,True,Optimization terminated successfully.,1605,2501,476.5708,0,1,-0.1297,-0.5678,-0.3158,0.2147,1.3444,-2.0032,0.5991
1170,True,Optimization terminated successfully.,1632,2542,438.3763,0,1,0.0174,-0.3812,-0.5510,-0.2358,1.0522,-1.2077,1.3344
1171,True,Optimization terminated successfully.,1917,2959,367.9179,0,1,-0.1266,-0.6235,-0.3106,0.3237,1.3947,-2.0165,0.4547
1172,True,Optimization terminated successfully.,1722,2653,477.6774,0,1,-0.2102,-0.6467,-0.1910,0.4518,1.5417,-2.4183,0.3060
1173,True,Optimization terminated successfully.,1677,2611,344.8385,0,1,0.1093,-0.1668,-0.7043,-0.6103,0.8345,-0.6936,1.8848
1174,True,Optimization terminated successfully.,1834,2864,497.1337,0,1,-0.0560,-0.4751,-0.4335,0.0210,1.2082,-1.6012,0.8608
1175,True,Optimization terminated successfully.,1833,2812,425.2313,0,1,-0.0832,-0.5174,-0.3940,0.1169,1.2358,-1.7391,0.7901
1176,True,Optimization terminated successfully.,2793,4321,0.2744,1,0,-55.9250,-98.7127,90.7220,197.4491,131.1937,-307.9671,-306.9358
1177,True,Optimization terminated successfully.,1496,2346,471.2498,0,1,0.0112,-0.3702,-0.5384,-0.1556,1.0716,-1.2538,1.1807
1178,True,Optimization terminated successfully.,1891,2913,456.5057,0,1,0.1983,-0.1527,-0.8280,-0.6556,0.6818,-0.2807,1.9583
1179,True,Optimization terminated successfully.,1669,2572,379.6911,0,1,-0.1495,-0.5596,-0.2831,0.3144,1.4147,-2.1113,0.4714
1180,True,Optimization terminated successfully.,1753,2740,413.2905,0,1,0.2092,0.0429,-0.8620,-0.9234,0.6066,-0.1635,2.4116
1181,True,Optimization terminated successfully.,1758,2733,421.3195,0,1,-0.1295,-0.5959,-0.3099,0.2883,1.3855,-2.0158,0.5010
1182,True,Optimization terminated successfully.,1530,2372,435.7271,0,1,-0.1023,-0.5611,-0.3505,0.1893,1.3220,-1.8746,0.6878
1183,True,Optimization terminated successfully.,1750,2721,468.2469,0,1,-0.0300,-0.3346,-0.4743,-0.2027,1.1559,-1.4857,1.2581
1184,True,Optimization terminated successfully.,1779,2767,430.8766,0,1,0.0420,-0.3357,-0.5856,-0.2568,1.0207,-1.0829,1.2666
1185,True,Optimization terminated successfully.,1766,2717,468.5100,0,1,-0.0303,-0.4110,-0.4702,-0.1029,1.1635,-1.4817,1.1180
1186,True,Optimization terminated successfully.,1823,2817,476.8468,0,1,-0.0160,-0.4796,-0.4897,0.0282,1.1853,-1.3968,0.8772
1187,True,Optimization terminated successfully.,1263,1987,359.6009,0,1,-0.0043,-0.3250,-0.4990,-0.1592,1.1349,-1.3801,1.2248
1188,True,Optimization terminated successfully.,1848,2896,527.7193,0,1,-0.0561,-0.4541,-0.4284,0.0304,1.2237,-1.6229,0.8973
1189,True,Optimization terminated successfully.,1861,2895,407.5224,0,1,-0.1380,-0.5729,-0.3004,0.2837,1.4039,-2.0459,0.4915
1190,True,Optimization terminated successfully.,1751,2703,520.4254,0,1,-0.0443,-0.4586,-0.4467,-0.0344,1.2012,-1.5392,1.0118
1191,True,Optimization terminated successfully.,1738,2694,415.1991,0,1,-0.0877,-0.5379,-0.3758,0.1793,1.3281,-1.7964,0.6860
1192,True,Optimization terminated successfully.,1201,1894,430.7450,0,1,-0.0281,-0.4431,-0.4942,-0.0672,1.1247,-1.3973,1.0385
1193,True,Optimization terminated successfully.,1585,2460,468.3475,0,1,-0.1647,-0.6194,-0.2548,0.3455,1.4718,-2.2072,0.4051
1194,True,Optimization terminated successfully.,2052,3176,498.2021,0,1,0.2370,0.0047,-0.9095,-0.9773,0.5382,-0.0103,2.4865
1195,True,Optimization terminated successfully.,1767,2742,372.3502,0,1,0.2633,0.2177,-0.9550,-1.2839,0.4509,0.1357,2.9261
1196,True,Optimization terminated successfully.,1892,2936,475.2447,0,1,-0.1636,-0.5604,-0.2557,0.2730,1.4488,-2.2236,0.5708
1197,True,Optimization terminated successfully.,2230,3441,433.5884,0,1,-0.0347,-0.5396,-0.4590,0.0582,1.1645,-1.4926,0.8494
1198,True,Optimization terminated successfully.,1931,2984,414.5398,0,1,-0.0394,-0.4970,-0.4582,0.0358,1.1837,-1.5268,0.8756
1199,True,Optimization terminated successfully.,1517,2336,416.7921,0,1,-0.0282,-0.4438,-0.4746,0.0261,1.1840,-1.4582,0.9283
1200,True,Optimization terminated successfully.,1787,2779,461.1263,0,1,-0.2391,-0.7812,-0.1241,0.6741,1.6347,-2.6345,-0.0791
1201,True,Optimization terminated successfully.,1877,2898,480.6506,0,1,-0.1098,-0.5838,-0.3374,0.2370,1.3601,-1.9108,0.5446
1202,True,Optimization terminated successfully.,1191,1905,435.7007,0,1,-0.3133,-0.8006,-0.0183,0.8196,1.7928,-3.0087,-0.3148
1203,True,Optimization terminated successfully.,1631,2534,395.8312,0,1,-0.0411,-0.4093,-0.4589,-0.0644,1.1834,-1.5354,1.0425
1204,True,Optimization terminated successfully.,1733,2703,400.3127,0,1,-0.0090,-0.4232,-0.5121,-0.1199,1.0884,-1.3370,1.0952
