dataset,method,init,setting,shms_p_GeV,delta_center,dp_lo,dp_hi,variable,mu,mu_err,sigma,sigma_err,predicted,residual,pull
radwan_rangescan_k1p5,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.452749,0.347197,9.790159,0.327893,8.903477,-0.450728,-1.298191
radwan_rangescan_k1p5,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.808074,1.257330,29.035456,1.507708,5.642810,0.165264,0.131441
radwan_rangescan_k1p5,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.548017,0.314979,6.774474,0.400442,-15.468282,-0.079735,-0.253145
radwan_rangescan_k1p5,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,15.054545,0.339775,8.933222,0.312419,15.137956,-0.083411,-0.245490
radwan_rangescan_k1p5,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.885093,0.332945,9.585737,0.296276,8.904758,-0.019665,-0.059065
radwan_rangescan_k1p5,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,W,10.475310,1.424833,27.010919,1.577131,9.862172,0.613138,0.430323
radwan_rangescan_k1p5,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.751251,0.413726,7.725741,0.516605,-15.427152,0.675901,1.633693
radwan_rangescan_k1p5,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.207093,0.356858,8.775110,0.367319,15.906506,0.300587,0.842316
radwan_rangescan_k1p5,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.671464,0.390341,9.688819,0.401820,8.074728,0.596736,1.528756
radwan_rangescan_k2p0,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.557277,1.094107,28.873636,1.036490,2.359511,0.197766,0.180756
radwan_rangescan_k2p0,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.294357,0.271950,6.796372,0.276912,-13.684639,-0.609718,-2.242022
radwan_rangescan_k2p0,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.361736,0.401260,9.281076,0.332821,14.339000,-0.977264,-2.435489
radwan_rangescan_k2p0,scipy_nelder_mead,zero_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.496041,0.332986,10.234650,0.292744,9.069822,-0.573781,-1.723138
radwan_rangescan_k2p0,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.161966,1.031033,28.824679,0.955779,4.381250,0.780716,0.757217
radwan_rangescan_k2p0,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.034481,0.287492,6.984338,0.274461,-14.556850,-0.477631,-1.661373
radwan_rangescan_k2p0,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,14.975752,0.352333,8.840918,0.280320,15.612548,-0.636796,-1.807371
radwan_rangescan_k2p0,scipy_nelder_mead,zero_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.894231,0.318096,9.954763,0.266540,9.025773,-0.131542,-0.413529
radwan_rangescan_k2p0,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,W,11.905280,1.091195,27.761362,1.126965,10.016319,1.888961,1.731094
radwan_rangescan_k2p0,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.151015,0.386584,8.456462,0.400337,-14.263469,0.112454,0.290892
radwan_rangescan_k2p0,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.158137,0.359273,8.317206,0.271510,16.396940,-0.238803,-0.664685
radwan_rangescan_k2p0,scipy_nelder_mead,zero_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.517854,0.328419,9.555320,0.263229,7.822694,0.695160,2.116687
radwan_rangescan_k2p0,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,W,2.557277,1.094107,28.873636,1.036490,3.285500,-0.728223,-0.665587
radwan_rangescan_k2p0,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Em,-14.294357,0.271950,6.796372,0.276912,-14.022692,-0.271665,-0.998954
radwan_rangescan_k2p0,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmz,13.361736,0.401260,9.281076,0.332821,13.638394,-0.276658,-0.689474
radwan_rangescan_k2p0,scipy_nelder_mead,julio_like_init,C,-6.720000,1.000000,-0.500000,2.500000,Pmy,8.496041,0.332986,10.234650,0.292744,9.035519,-0.539478,-1.620121
radwan_rangescan_k2p0,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,W,5.161966,1.031033,28.824679,0.955779,5.357718,-0.195752,-0.189860
radwan_rangescan_k2p0,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Em,-15.034481,0.287492,6.984338,0.274461,-14.976368,-0.058113,-0.202139
radwan_rangescan_k2p0,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmz,14.975752,0.352333,8.840918,0.280320,15.004324,-0.028572,-0.081093
radwan_rangescan_k2p0,scipy_nelder_mead,julio_like_init,E,-6.604800,3.000000,1.500000,4.500000,Pmy,8.894231,0.318096,9.954763,0.266540,9.014038,-0.119807,-0.376637
radwan_rangescan_k2p0,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,W,11.905280,1.091195,27.761362,1.126965,10.961664,0.943616,0.864754
radwan_rangescan_k2p0,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Em,-14.151015,0.386584,8.456462,0.400337,-14.805057,0.654042,1.691849
radwan_rangescan_k2p0,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmz,16.158137,0.359273,8.317206,0.271510,15.906639,0.251498,0.700020
radwan_rangescan_k2p0,scipy_nelder_mead,julio_like_init,D,-6.384000,6.000000,4.500000,7.500000,Pmy,8.517854,0.328419,9.555320,0.263229,7.865364,0.652490,1.986760
